Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,COMMENT_OBS,Value
2000,A,0,Ministère de la Poste et des Télécommunications,IT_MOB_2GNTWK,12,PT,2025-03-06T00:00:00,2023,source : ARPT.,40.0
2001,A,0,Ministère de la Poste et des Télécommunications,IT_MOB_2GNTWK,12,PT,2025-03-06T00:00:00,2023,source : ARPT.,40.0
2002,A,0,Ministère de la Poste et des Télécommunications,IT_MOB_2GNTWK,12,PT,2025-03-06T00:00:00,2023,source : ARPT.,40.0
2003,A,0,Ministère de la Poste et des Télécommunications,IT_MOB_2GNTWK,12,PT,2025-03-06T00:00:00,2023,source : ARPT.,40.0
2004,A,0,Ministère de la Poste et des Télécommunications,IT_MOB_2GNTWK,12,PT,2025-03-06T00:00:00,2023,source : ARPT.,40.0
2005,A,0,Ministère de la Poste et des Télécommunications,IT_MOB_2GNTWK,12,PT,2025-03-06T00:00:00,2023,source : ARPT.,41.52
2006,A,0,Ministère de la Poste et des Télécommunications,IT_MOB_2GNTWK,12,PT,2025-03-06T00:00:00,2023,source : ARPT.,63.6
2007,A,0,Ministère de la Poste et des Télécommunications,IT_MOB_2GNTWK,12,PT,2025-03-06T00:00:00,2023,source : ARPT.,81.5
2013,A,0,Ministère de la Poste et des Télécommunications,IT_MOB_2GNTWK,12,PT,2025-03-06T00:00:00,2023,source : ARPT.,98.0
2014,A,0,Ministère de la Poste et des Télécommunications,IT_MOB_2GNTWK,12,PT,2025-03-06T00:00:00,2023,source : ARPT.,98.0
2015,A,0,Ministère de la Poste et des Télécommunications,IT_MOB_2GNTWK,12,PT,2025-03-06T00:00:00,2023,source : ARPT.,99.19
2016,A,0,Ministère de la Poste et des Télécommunications,IT_MOB_2GNTWK,12,PT,2025-03-06T00:00:00,2023,source : ARPT.,98.0
2017,A,0,Ministère de la Poste et des Télécommunications,IT_MOB_2GNTWK,12,PT,2025-03-06T00:00:00,2023,source : ARPT.,98.0
2018,A,0,Ministère de la Poste et des Télécommunications,IT_MOB_2GNTWK,12,PT,2025-03-06T00:00:00,2023,source : ARPT.,98.04
2019,A,0,Ministère de la Poste et des Télécommunications,IT_MOB_2GNTWK,12,PT,2025-03-06T00:00:00,2023,source : ARPT.,98.72
2020,A,0,Ministère de la Poste et des Télécommunications,IT_MOB_2GNTWK,12,PT,2025-03-06T00:00:00,2023,source : ARPT.,98.97
2021,A,0,Ministère de la Poste et des Télécommunications,IT_MOB_2GNTWK,12,PT,2025-03-06T00:00:00,2023,source : ARPT.,98.31
2022,A,0,Ministère de la Poste et des Télécommunications,IT_MOB_2GNTWK,12,PT,2025-03-06T00:00:00,2023,source : ARPT.,98.49
2023,A,0,Ministère de la Poste et des Télécommunications,IT_MOB_2GNTWK,12,PT,2025-03-06T00:00:00,2023,source : ARPT.,98.53
2013,A,0,Ministère de la Poste et des Télécommunications,IT_MOB_3GNTWK,12,PT,2025-03-06T00:00:00,2023,"Taux corrigé après correction par l'Autorité de régulation ""ARPCE""",6.0
2014,A,0,Ministère de la Poste et des Télécommunications,IT_MOB_3GNTWK,12,PT,2025-03-06T00:00:00,2023,"Taux corrigé après correction par l'Autorité de régulation ""ARPCE""",23.23
