Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,BASE_PER,TIME_DETAIL,COMMENT_OBS,SOURCE_DETAIL,Value
1995,SI_POV_DAY1,231,None,None,None,PT,2025-05-20T00:00:00,A,0,2017,2015,"Accessed September 19, 2024. Based on data from HICES. Estimated from unit-record consumption data.","Poverty and Inequality Portal, World Bank",69.2
1999,SI_POV_DAY1,231,None,None,None,PT,2025-05-20T00:00:00,A,0,2017,2015,"Accessed September 19, 2024. Based on data from HICES. Estimated from unit-record consumption data.","Poverty and Inequality Portal, World Bank",58.0
2004,SI_POV_DAY1,231,None,None,None,PT,2025-05-20T00:00:00,A,0,2017,2015,"Accessed September 19, 2024. Based on data from HICES. Estimated from unit-record consumption data.","Poverty and Inequality Portal, World Bank",34.6
2010,SI_POV_DAY1,231,None,None,None,PT,2025-05-20T00:00:00,A,0,2017,2015,"Accessed September 19, 2024. Based on data from HICES. Estimated from unit-record consumption data.","Poverty and Inequality Portal, World Bank",30.8
2015,SI_POV_DAY1,231,None,None,None,PT,2025-05-20T00:00:00,A,0,2017,2015,"Accessed September 19, 2024. Based on data from HICES. Estimated from unit-record consumption data.","Poverty and Inequality Portal, World Bank",27.0
2010,SI_POV_DAY1,231,None,None,R,PT,2025-05-20T00:00:00,A,0,2017,2015,"Accessed September 19, 2024. Survey name: HICES. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",34.33332
2015,SI_POV_DAY1,231,None,None,R,PT,2025-05-20T00:00:00,A,0,2017,2015,"Accessed September 19, 2024. Survey name: HICES. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",30.6872
2010,SI_POV_DAY1,231,None,None,U,PT,2025-05-20T00:00:00,A,0,2017,2015,"Accessed September 19, 2024. Survey name: HICES. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",12.71118
2015,SI_POV_DAY1,231,None,None,U,PT,2025-05-20T00:00:00,A,0,2017,2015,"Accessed September 19, 2024. Survey name: HICES. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",11.28973
2010,SI_POV_DAY1,231,None,Y_GE65,None,PT,2025-05-20T00:00:00,A,0,2017,2015,"Accessed September 19, 2024. Survey name: HICES. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",22.13589
2015,SI_POV_DAY1,231,None,Y_GE65,None,PT,2025-05-20T00:00:00,A,0,2017,2015,"Accessed September 19, 2024. Survey name: HICES. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",20.5533
2010,SI_POV_DAY1,231,None,Y0T14,None,PT,2025-05-20T00:00:00,A,0,2017,2015,"Accessed September 19, 2024. Survey name: HICES. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",35.68548
2015,SI_POV_DAY1,231,None,Y0T14,None,PT,2025-05-20T00:00:00,A,0,2017,2015,"Accessed September 19, 2024. Survey name: HICES. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",31.49956
2010,SI_POV_DAY1,231,None,Y15T64,None,PT,2025-05-20T00:00:00,A,0,2017,2015,"Accessed September 19, 2024. Survey name: HICES. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",26.75788
2015,SI_POV_DAY1,231,None,Y15T64,None,PT,2025-05-20T00:00:00,A,0,2017,2015,"Accessed September 19, 2024. Survey name: HICES. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",23.52399
2010,SI_POV_DAY1,231,F,None,None,PT,2025-05-20T00:00:00,A,0,2017,2015,"Accessed September 19, 2024. Survey name: HICES. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",30.42144
2015,SI_POV_DAY1,231,F,None,None,PT,2025-05-20T00:00:00,A,0,2017,2015,"Accessed September 19, 2024. Survey name: HICES. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",26.3435
2010,SI_POV_DAY1,231,M,None,None,PT,2025-05-20T00:00:00,A,0,2017,2015,"Accessed September 19, 2024. Survey name: HICES. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",31.08911
2015,SI_POV_DAY1,231,M,None,None,PT,2025-05-20T00:00:00,A,0,2017,2015,"Accessed September 19, 2024. Survey name: HICES. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",27.56664
