Year,SERIES,REF_AREA,SEX,AGE,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,Value
2019,SI_COV_BENFTS,231,None,None,None,PT,2025-03-15T00:00:00,A,0,2019,ILO estimates based on national sources,7.4
2019,SI_COV_BENFTS,231,F,None,None,PT,2025-03-15T00:00:00,A,0,2019,ILO estimates based on national sources,4.84
2019,SI_COV_BENFTS,231,M,None,None,PT,2025-03-15T00:00:00,A,0,2019,ILO estimates based on national sources,7.61
2019,SI_COV_CHLD,231,None,Y0T14,None,PT,2025-03-15T00:00:00,A,0,2019,ILO estimates based on national sources,4.5
2019,SI_COV_CHLD,231,F,Y0T14,None,PT,2025-03-15T00:00:00,A,0,2019,ILO estimates based on national sources,3.78
2019,SI_COV_CHLD,231,M,Y0T14,None,PT,2025-03-15T00:00:00,A,0,2019,ILO estimates based on national sources,5.05
2019,SI_COV_DISAB,231,None,None,None,PT,2025-03-15T00:00:00,A,0,2019,ILO estimates based on national sources,1.3
2019,SI_COV_DISAB,231,F,None,None,PT,2025-03-15T00:00:00,A,0,2019,ILO estimates based on national sources,1.13
2019,SI_COV_DISAB,231,M,None,None,PT,2025-03-15T00:00:00,A,0,2019,ILO estimates based on national sources,1.43
2002,SI_COV_PENSN,231,None,Y_GE65,None,PT,2025-03-15T00:00:00,A,0,2019,ILO estimates based on national sources,6.0
2019,SI_COV_PENSN,231,None,Y_GE65,None,PT,2025-03-15T00:00:00,A,0,2019,ILO estimates based on national sources,4.18
2019,SI_COV_PENSN,231,F,Y_GE65,None,PT,2025-03-15T00:00:00,A,0,2019,ILO estimates based on national sources,3.8
2019,SI_COV_PENSN,231,M,Y_GE65,None,PT,2025-03-15T00:00:00,A,0,2019,ILO estimates based on national sources,4.62
2019,SI_COV_POOR,231,None,None,None,PT,2025-03-15T00:00:00,A,0,2019,ILO estimates based on national sources,5.4
2004,SI_COV_SOCAST,231,None,None,None,PT,2025-04-29T00:00:00,A,0,2018,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",0.514473589852514
2010,SI_COV_SOCAST,231,None,None,None,PT,2025-04-29T00:00:00,A,0,2018,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",13.2479485078869
2015,SI_COV_SOCAST,231,None,None,None,PT,2025-04-29T00:00:00,A,0,2018,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",21.1034818238013
2018,SI_COV_SOCAST,231,None,None,None,PT,2025-04-29T00:00:00,A,0,2018,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",21.0904439387474
2004,SI_COV_SOCAST,231,None,None,Q1,PT,2025-04-29T00:00:00,A,0,2018,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",0.595208317551733
2010,SI_COV_SOCAST,231,None,None,Q1,PT,2025-04-29T00:00:00,A,0,2018,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",16.2075243899289
2015,SI_COV_SOCAST,231,None,None,Q1,PT,2025-04-29T00:00:00,A,0,2018,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",21.2264095736936
2018,SI_COV_SOCAST,231,None,None,Q1,PT,2025-04-29T00:00:00,A,0,2018,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",30.0138448366597
2015,SI_COV_SOCINS,231,None,None,None,PT,2025-04-29T00:00:00,A,0,2018,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",2.36834901780239
2018,SI_COV_SOCINS,231,None,None,None,PT,2025-04-29T00:00:00,A,0,2018,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",1.20800803921091
2015,SI_COV_SOCINS,231,None,None,Q1,PT,2025-04-29T00:00:00,A,0,2018,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",0.338503918404981
2018,SI_COV_SOCINS,231,None,None,Q1,PT,2025-04-29T00:00:00,A,0,2018,"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",0.0866507292599448
2015,SI_COV_UEMP,231,None,Y_GE15,None,PT,2025-03-15T00:00:00,A,0,2022,ILO estimates based on national sources,0.0
2019,SI_COV_UEMP,231,None,Y_GE15,None,PT,2025-03-15T00:00:00,A,0,2022,ILO estimates based on national sources,0.0
2020,SI_COV_UEMP,231,None,Y_GE15,None,PT,2025-03-15T00:00:00,A,0,2022,ILO estimates based on national sources,0.0
