Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,PRODUCT,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,BASE_PER,Value
2000,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,None,T,2025-03-21T00:00:00,2023,,4.59591
2001,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,None,T,2025-03-21T00:00:00,2023,,4.5865
2002,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,None,T,2025-03-21T00:00:00,2023,,5.12646
2003,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,None,T,2025-03-21T00:00:00,2023,,5.696
2004,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,None,T,2025-03-21T00:00:00,2023,,5.63381
2005,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,None,T,2025-03-21T00:00:00,2023,,6.23012
2006,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,None,T,2025-03-21T00:00:00,2023,,6.61549
2007,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,None,T,2025-03-21T00:00:00,2023,,6.91942
2008,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,None,T,2025-03-21T00:00:00,2023,,8.23617
2009,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,None,T,2025-03-21T00:00:00,2023,,8.48281
2010,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,None,T,2025-03-21T00:00:00,2023,,8.00185
2011,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,None,T,2025-03-21T00:00:00,2023,,7.77759
2012,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,None,T,2025-03-21T00:00:00,2023,,7.96588
2013,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,None,T,2025-03-21T00:00:00,2023,,7.65507
2014,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,None,T,2025-03-21T00:00:00,2023,,7.81983
2015,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,None,T,2025-03-21T00:00:00,2023,,8.72791
2016,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,None,T,2025-03-21T00:00:00,2023,,8.45673
2017,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,None,T,2025-03-21T00:00:00,2023,,8.50164
2018,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,None,T,2025-03-21T00:00:00,2023,,8.85978
2019,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,None,T,2025-03-21T00:00:00,2023,,8.28004
2020,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,None,T,2025-03-21T00:00:00,2023,,8.10779
2021,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,None,T,2025-03-21T00:00:00,2023,,8.17817
2022,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,None,T,2025-03-21T00:00:00,2023,,8.26181
2023,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,None,T,2025-03-21T00:00:00,2023,,8.16035
2000,A,0,WESR / Global Material Flows Database,EN_MAT_DOMCMPC,12,MF_AGG3A,T,2025-03-21T00:00:00,2023,,2.4949
