Year,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,COMMENT_OBS,SOURCE_DETAIL,Value
2019,AG_FOOD_WST,231,None,T,2025-03-25T00:00:00,A,0,2022,Medium Confidence,Food Waste Index Report 2024,15178932.26
2022,AG_FOOD_WST,231,None,T,2025-03-25T00:00:00,A,0,2022,Medium Confidence,Food Waste Index Report 2024,13579175.1
2019,AG_FOOD_WST,231,FWS_HHS,T,2025-03-25T00:00:00,A,0,2022,Medium Confidence,Food Waste Index Report 2024,10327235.52
2022,AG_FOOD_WST,231,FWS_HHS,T,2025-03-25T00:00:00,A,0,2022,Medium Confidence,Food Waste Index Report 2024,8543381.506
2019,AG_FOOD_WST,231,FWS_OOHC,T,2025-03-25T00:00:00,A,0,2022,Very Low Confidence,Food Waste Index Report 2024,3098760.255
2022,AG_FOOD_WST,231,FWS_OOHC,T,2025-03-25T00:00:00,A,0,2022,Very Low Confidence,Food Waste Index Report 2024,3841737.044
2019,AG_FOOD_WST,231,FWS_RTL,T,2025-03-25T00:00:00,A,0,2022,Very Low Confidence,Food Waste Index Report 2024,1752936.489
2022,AG_FOOD_WST,231,FWS_RTL,T,2025-03-25T00:00:00,A,0,2022,Very Low Confidence,Food Waste Index Report 2024,1194056.549
2019,AG_FOOD_WST_PC,231,None,KG,2025-03-25T00:00:00,A,0,2022,Medium Confidence,Food Waste Index Report 2024,133.00783
2022,AG_FOOD_WST_PC,231,None,KG,2025-03-25T00:00:00,A,0,2022,Medium Confidence,Food Waste Index Report 2024,110.05984
2019,AG_FOOD_WST_PC,231,FWS_HHS,KG,2025-03-25T00:00:00,A,0,2022,Medium Confidence,Food Waste Index Report 2024,90.49406
2022,AG_FOOD_WST_PC,231,FWS_HHS,KG,2025-03-25T00:00:00,A,0,2022,Medium Confidence,Food Waste Index Report 2024,69.2445
2019,AG_FOOD_WST_PC,231,FWS_OOHC,KG,2025-03-25T00:00:00,A,0,2022,Very Low Confidence,Food Waste Index Report 2024,27.15338
2022,AG_FOOD_WST_PC,231,FWS_OOHC,KG,2025-03-25T00:00:00,A,0,2022,Very Low Confidence,Food Waste Index Report 2024,31.13746
2019,AG_FOOD_WST_PC,231,FWS_RTL,KG,2025-03-25T00:00:00,A,0,2022,Very Low Confidence,Food Waste Index Report 2024,15.36039
2022,AG_FOOD_WST_PC,231,FWS_RTL,KG,2025-03-25T00:00:00,A,0,2022,Very Low Confidence,Food Waste Index Report 2024,9.67788
