Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,CUST_BREAKDOWN,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,CUST_BREAKDOWN_LB,Value
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_DGRDA,12,None,None,KM2,2025-03-21T00:00:00,2000-2021,,7502.6
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_DGRDA,12,None,None,KM2,2025-03-21T00:00:00,2000-2021,,10633.7
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_DGRDA,12,C03,None,KM2,2025-03-21T00:00:00,2000-2021,Montane,3465.0
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_DGRDA,12,C03,None,KM2,2025-03-21T00:00:00,2000-2021,Montane,4734.8
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_DGRDA,12,C04,None,KM2,2025-03-21T00:00:00,2000-2021,Remaining mountain area,4037.6
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_DGRDA,12,C04,None,KM2,2025-03-21T00:00:00,2000-2021,Remaining mountain area,5898.9
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_DGRDP,12,None,None,PT,2025-03-21T00:00:00,2000-2021,,2.7
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_DGRDP,12,None,None,PT,2025-03-21T00:00:00,2000-2021,,3.9
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_DGRDP,12,C03,None,PT,2025-03-21T00:00:00,2000-2021,Montane,5.4
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_DGRDP,12,C03,None,PT,2025-03-21T00:00:00,2000-2021,Montane,7.4
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_DGRDP,12,C04,None,PT,2025-03-21T00:00:00,2000-2021,Remaining mountain area,1.9
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_DGRDP,12,C04,None,PT,2025-03-21T00:00:00,2000-2021,Remaining mountain area,2.8
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,None,LC_ART,KM2,2025-03-21T00:00:00,2021,,3138.3
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,None,LC_ART,KM2,2025-03-21T00:00:00,2021,,3538.7
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,None,LC_ART,KM2,2025-03-21T00:00:00,2021,,3964.8
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,None,LC_ART,KM2,2025-03-21T00:00:00,2021,,4739.1
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,None,LC_ART,KM2,2025-03-21T00:00:00,2021,,5223.3
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,None,LC_ART,KM2,2025-03-21T00:00:00,2021,,5546.1
2000,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,None,LC_CRP,KM2,2025-03-21T00:00:00,2021,,24711.1
2005,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,None,LC_CRP,KM2,2025-03-21T00:00:00,2021,,26067.3
2010,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,None,LC_CRP,KM2,2025-03-21T00:00:00,2021,,26744.2
2015,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,None,LC_CRP,KM2,2025-03-21T00:00:00,2021,,26603.5
2018,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,None,LC_CRP,KM2,2025-03-21T00:00:00,2021,,26640.1
2021,E,0,FAO estimate,Food and Agriculture Organization of the United Nations (FAO),ER_MTN_GRNCOV,12,None,LC_CRP,KM2,2025-03-21T00:00:00,2021,,26664.4
