Year,SERIES,REF_AREA,SEX,AGE,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,COMMENT_OBS,SOURCE_DETAIL,Value
2020,VC_DTH_TOCVN,231,None,None,None,NUMBER,2025-05-07T00:00:00,A,0,2022,"Figures include direct conflict-related deaths recorded by the United Nations, applying casualty recording methodology and integrating consistent data 
           collected by other sources, when applicable. Previous data may be updated as new data becomes available",Office of the High Commissioner for Human Rights (OHCHR),394.0
2021,VC_DTH_TOCVN,231,None,None,None,NUMBER,2025-05-07T00:00:00,A,0,2022,"Figures include direct conflict-related deaths recorded by the United Nations, applying casualty recording methodology and integrating consistent data 
           collected by other sources, when applicable. Previous data may be updated as new data becomes available",Office of the High Commissioner for Human Rights (OHCHR),1361.0
2022,VC_DTH_TOCVN,231,None,None,None,NUMBER,2025-05-07T00:00:00,A,0,2022,"Figures include direct conflict-related deaths recorded by the United Nations, applying casualty recording methodology and integrating consistent data 
           collected by other sources, when applicable. Previous data may be updated as new data becomes available",Office of the High Commissioner for Human Rights (OHCHR),611.0
2020,VC_DTH_TOTN,231,None,None,None,NUMBER,2025-05-07T00:00:00,A,0,2022,"Figures include direct conflict-related deaths recorded by the United Nations, applying casualty recording methodology and integrating consistent data 
           collected by other sources, when applicable. Previous data may be updated as new data becomes available",Office of the High Commissioner for Human Rights (OHCHR),394.0
2021,VC_DTH_TOTN,231,None,None,None,NUMBER,2025-05-07T00:00:00,A,0,2022,"Figures include direct conflict-related deaths recorded by the United Nations, applying casualty recording methodology and integrating consistent data 
           collected by other sources, when applicable. Previous data may be updated as new data becomes available",Office of the High Commissioner for Human Rights (OHCHR),1361.0
2022,VC_DTH_TOTN,231,None,None,None,NUMBER,2025-05-07T00:00:00,A,0,2022,"Figures include direct conflict-related deaths recorded by the United Nations, applying casualty recording methodology and integrating consistent data 
           collected by other sources, when applicable. Previous data may be updated as new data becomes available",Office of the High Commissioner for Human Rights (OHCHR),611.0
2020,VC_DTH_TOTN,231,None,None,COD_EXPLOSIVES,NUMBER,2025-05-07T00:00:00,A,0,2022,"Figures include direct conflict-related deaths recorded by the United Nations, applying casualty recording methodology and integrating consistent data 
           collected by other sources, when applicable. Previous data may be updated as new data becomes available",Office of the High Commissioner for Human Rights (OHCHR),0.0
2021,VC_DTH_TOTN,231,None,None,COD_EXPLOSIVES,NUMBER,2025-05-07T00:00:00,A,0,2022,"Figures include direct conflict-related deaths recorded by the United Nations, applying casualty recording methodology and integrating consistent data 
           collected by other sources, when applicable. Previous data may be updated as new data becomes available",Office of the High Commissioner for Human Rights (OHCHR),0.0
2022,VC_DTH_TOTN,231,None,None,COD_EXPLOSIVES,NUMBER,2025-05-07T00:00:00,A,0,2022,"Figures include direct conflict-related deaths recorded by the United Nations, applying casualty recording methodology and integrating consistent data 
           collected by other sources, when applicable. Previous data may be updated as new data becomes available",Office of the High Commissioner for Human Rights (OHCHR),0.0
2020,VC_DTH_TOTN,231,None,None,COD_HEAVYWEAPONS,NUMBER,2025-05-07T00:00:00,A,0,2022,"Figures include direct conflict-related deaths recorded by the United Nations, applying casualty recording methodology and integrating consistent data 
           collected by other sources, when applicable. Previous data may be updated as new data becomes available",Office of the High Commissioner for Human Rights (OHCHR),0.0
2021,VC_DTH_TOTN,231,None,None,COD_HEAVYWEAPONS,NUMBER,2025-05-07T00:00:00,A,0,2022,"Figures include direct conflict-related deaths recorded by the United Nations, applying casualty recording methodology and integrating consistent data 
           collected by other sources, when applicable. Previous data may be updated as new data becomes available",Office of the High Commissioner for Human Rights (OHCHR),0.0
2022,VC_DTH_TOTN,231,None,None,COD_HEAVYWEAPONS,NUMBER,2025-05-07T00:00:00,A,0,2022,"Figures include direct conflict-related deaths recorded by the United Nations, applying casualty recording methodology and integrating consistent data 
           collected by other sources, when applicable. Previous data may be updated as new data becomes available",Office of the High Commissioner for Human Rights (OHCHR),0.0
2020,VC_DTH_TOTN,231,None,None,COD_OTHER,NUMBER,2025-05-07T00:00:00,A,0,2022,"Figures include direct conflict-related deaths recorded by the United Nations, applying casualty recording methodology and integrating consistent data 
           collected by other sources, when applicable. Previous data may be updated as new data becomes available",Office of the High Commissioner for Human Rights (OHCHR),0.0
2021,VC_DTH_TOTN,231,None,None,COD_OTHER,NUMBER,2025-05-07T00:00:00,A,0,2022,"Figures include direct conflict-related deaths recorded by the United Nations, applying casualty recording methodology and integrating consistent data 
           collected by other sources, when applicable. Previous data may be updated as new data becomes available",Office of the High Commissioner for Human Rights (OHCHR),0.0
2022,VC_DTH_TOTN,231,None,None,COD_OTHER,NUMBER,2025-05-07T00:00:00,A,0,2022,"Figures include direct conflict-related deaths recorded by the United Nations, applying casualty recording methodology and integrating consistent data 
           collected by other sources, when applicable. Previous data may be updated as new data becomes available",Office of the High Commissioner for Human Rights (OHCHR),0.0
2020,VC_DTH_TOTN,231,None,None,COD_SMALLARMS,NUMBER,2025-05-07T00:00:00,A,0,2022,"Figures include direct conflict-related deaths recorded by the United Nations, applying casualty recording methodology and integrating consistent data 
           collected by other sources, when applicable. Previous data may be updated as new data becomes available",Office of the High Commissioner for Human Rights (OHCHR),0.0
2021,VC_DTH_TOTN,231,None,None,COD_SMALLARMS,NUMBER,2025-05-07T00:00:00,A,0,2022,"Figures include direct conflict-related deaths recorded by the United Nations, applying casualty recording methodology and integrating consistent data 
           collected by other sources, when applicable. Previous data may be updated as new data becomes available",Office of the High Commissioner for Human Rights (OHCHR),0.0
2022,VC_DTH_TOTN,231,None,None,COD_SMALLARMS,NUMBER,2025-05-07T00:00:00,A,0,2022,"Figures include direct conflict-related deaths recorded by the United Nations, applying casualty recording methodology and integrating consistent data 
           collected by other sources, when applicable. Previous data may be updated as new data becomes available",Office of the High Commissioner for Human Rights (OHCHR),0.0
2020,VC_DTH_TOTN,231,None,None,COD_U,NUMBER,2025-05-07T00:00:00,A,0,2022,"Figures include direct conflict-related deaths recorded by the United Nations, applying casualty recording methodology and integrating consistent data 
           collected by other sources, when applicable. Previous data may be updated as new data becomes available",Office of the High Commissioner for Human Rights (OHCHR),394.0
2021,VC_DTH_TOTN,231,None,None,COD_U,NUMBER,2025-05-07T00:00:00,A,0,2022,"Figures include direct conflict-related deaths recorded by the United Nations, applying casualty recording methodology and integrating consistent data 
           collected by other sources, when applicable. Previous data may be updated as new data becomes available",Office of the High Commissioner for Human Rights (OHCHR),1361.0
2022,VC_DTH_TOTN,231,None,None,COD_U,NUMBER,2025-05-07T00:00:00,A,0,2022,"Figures include direct conflict-related deaths recorded by the United Nations, applying casualty recording methodology and integrating consistent data 
           collected by other sources, when applicable. Previous data may be updated as new data becomes available",Office of the High Commissioner for Human Rights (OHCHR),611.0
2020,VC_DTH_TOTN,231,None,_U,None,NUMBER,2025-05-07T00:00:00,A,0,2022,"Figures include direct conflict-related deaths recorded by the United Nations, applying casualty recording methodology and integrating consistent data 
           collected by other sources, when applicable. Previous data may be updated as new data becomes available",Office of the High Commissioner for Human Rights (OHCHR),391.0
2021,VC_DTH_TOTN,231,None,_U,None,NUMBER,2025-05-07T00:00:00,A,0,2022,"Figures include direct conflict-related deaths recorded by the United Nations, applying casualty recording methodology and integrating consistent data 
           collected by other sources, when applicable. Previous data may be updated as new data becomes available",Office of the High Commissioner for Human Rights (OHCHR),1321.0
2022,VC_DTH_TOTN,231,None,_U,None,NUMBER,2025-05-07T00:00:00,A,0,2022,"Figures include direct conflict-related deaths recorded by the United Nations, applying casualty recording methodology and integrating consistent data 
           collected by other sources, when applicable. Previous data may be updated as new data becomes available",Office of the High Commissioner for Human Rights (OHCHR),547.0
2020,VC_DTH_TOTN,231,None,Y_GE18,None,NUMBER,2025-05-07T00:00:00,A,0,2022,"Figures include direct conflict-related deaths recorded by the United Nations, applying casualty recording methodology and integrating consistent data 
           collected by other sources, when applicable. Previous data may be updated as new data becomes available",Office of the High Commissioner for Human Rights (OHCHR),0.0
2021,VC_DTH_TOTN,231,None,Y_GE18,None,NUMBER,2025-05-07T00:00:00,A,0,2022,"Figures include direct conflict-related deaths recorded by the United Nations, applying casualty recording methodology and integrating consistent data 
           collected by other sources, when applicable. Previous data may be updated as new data becomes available",Office of the High Commissioner for Human Rights (OHCHR),0.0
2022,VC_DTH_TOTN,231,None,Y_GE18,None,NUMBER,2025-05-07T00:00:00,A,0,2022,"Figures include direct conflict-related deaths recorded by the United Nations, applying casualty recording methodology and integrating consistent data 
           collected by other sources, when applicable. Previous data may be updated as new data becomes available",Office of the High Commissioner for Human Rights (OHCHR),0.0
2020,VC_DTH_TOTN,231,None,Y0T17,None,NUMBER,2025-05-07T00:00:00,A,0,2022,"Figures include direct conflict-related deaths recorded by the United Nations, applying casualty recording methodology and integrating consistent data 
           collected by other sources, when applicable. Previous data may be updated as new data becomes available",Office of the High Commissioner for Human Rights (OHCHR),3.0
2021,VC_DTH_TOTN,231,None,Y0T17,None,NUMBER,2025-05-07T00:00:00,A,0,2022,"Figures include direct conflict-related deaths recorded by the United Nations, applying casualty recording methodology and integrating consistent data 
           collected by other sources, when applicable. Previous data may be updated as new data becomes available",Office of the High Commissioner for Human Rights (OHCHR),40.0
