Year,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,COMMENT_OBS,SOURCE_DETAIL,Value
2001,GR_G14_GDP,231,PT,2025-03-26T00:00:00,A,0,2023,Budgetary Central Government Sector,IMF,15.97527047
2002,GR_G14_GDP,231,PT,2025-03-26T00:00:00,A,0,2023,Budgetary Central Government Sector,IMF,18.50022885
2003,GR_G14_GDP,231,PT,2025-03-26T00:00:00,A,0,2023,Budgetary Central Government Sector,IMF,15.70754258
2004,GR_G14_GDP,231,PT,2025-03-26T00:00:00,A,0,2023,Budgetary Central Government Sector,IMF,18.4022703
2005,GR_G14_GDP,231,PT,2025-03-26T00:00:00,A,0,2023,Budgetary Central Government Sector,IMF,15.90400248
2006,GR_G14_GDP,231,PT,2025-03-26T00:00:00,A,0,2023,Budgetary Central Government Sector,IMF,10.2860999
2007,GR_G14_GDP,231,PT,2025-03-26T00:00:00,A,0,2023,Budgetary Central Government Sector,IMF,9.739631678
2008,GR_G14_GDP,231,PT,2025-03-26T00:00:00,A,0,2023,Budgetary Central Government Sector,IMF,14.70815301
2009,GR_G14_GDP,231,PT,2025-03-26T00:00:00,A,0,2023,Budgetary Central Government Sector,IMF,14.14328479
2010,GR_G14_GDP,231,PT,2025-03-26T00:00:00,A,0,2023,Budgetary Central Government Sector,IMF,15.64533341
2011,GR_G14_GDP,231,PT,2025-03-26T00:00:00,A,0,2023,Budgetary Central Government Sector,IMF,15.03759867
2012,GR_G14_GDP,231,PT,2025-03-26T00:00:00,A,0,2023,Budgetary Central Government Sector,IMF,11.72007398
2013,GR_G14_GDP,231,PT,2025-03-26T00:00:00,A,0,2023,Budgetary Central Government Sector,IMF,12.79890308
2014,GR_G14_GDP,231,PT,2025-03-26T00:00:00,A,0,2023,Budgetary Central Government Sector,IMF,11.91892139
2015,GR_G14_GDP,231,PT,2025-03-26T00:00:00,A,0,2023,Budgetary Central Government Sector,IMF,11.16023327
2016,GR_G14_GDP,231,PT,2025-03-26T00:00:00,A,0,2023,Budgetary Central Government Sector,IMF,11.17601094
2017,GR_G14_GDP,231,PT,2025-03-26T00:00:00,A,0,2023,Budgetary Central Government Sector,IMF,10.27827597
2018,GR_G14_GDP,231,PT,2025-03-26T00:00:00,A,0,2023,Budgetary Central Government Sector,IMF,10.16270758
2019,GR_G14_GDP,231,PT,2025-03-26T00:00:00,A,0,2023,Budgetary Central Government Sector,IMF,9.654713342
2020,GR_G14_GDP,231,PT,2025-03-26T00:00:00,A,0,2023,Budgetary Central Government Sector,IMF,8.931752119
2021,GR_G14_GDP,231,PT,2025-03-26T00:00:00,A,0,2023,Budgetary Central Government Sector,IMF,7.744287724
2022,GR_G14_GDP,231,PT,2025-03-26T00:00:00,A,0,2023,Budgetary Central Government Sector,IMF,5.891159577
2023,GR_G14_GDP,231,PT,2025-03-26T00:00:00,A,0,2023,Budgetary Central Government Sector,IMF,5.513536287
2001,GR_G14_XDC,231,CUR_LCU,2025-03-26T00:00:00,A,6,2023,Budgetary Central Government Sector,IMF,10951.7
2002,GR_G14_XDC,231,CUR_LCU,2025-03-26T00:00:00,A,6,2023,Budgetary Central Government Sector,IMF,12407.603522
2003,GR_G14_XDC,231,CUR_LCU,2025-03-26T00:00:00,A,6,2023,Budgetary Central Government Sector,IMF,11622.4
