Year,SERIES,REF_AREA,PRODUCT,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,Value
2000,TM_TAX_DMFN,231,None,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",1.89041
2005,TM_TAX_DMFN,231,None,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",1.77825
2010,TM_TAX_DMFN,231,None,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",3.26948
2011,TM_TAX_DMFN,231,None,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",3.2584
2012,TM_TAX_DMFN,231,None,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",2.62225
2013,TM_TAX_DMFN,231,None,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",2.61436
2014,TM_TAX_DMFN,231,None,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",2.60998
2015,TM_TAX_DMFN,231,None,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",2.59101
2016,TM_TAX_DMFN,231,None,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",2.85468
2017,TM_TAX_DMFN,231,None,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",2.51579
2018,TM_TAX_DMFN,231,None,PT,2025-03-26T00:00:00,A,0,2023,"International Trade Centre (ITC), United Nations Conference on Trade and Development (UNCTAD) and World Trade Organisation (WTO).",2.57419
