Year,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,COMMENT_OBS,SOURCE_DETAIL,BASE_PER,Value
2000,GF_COM_PPPI,231,USD,2022-09-19T00:00:00,A,6,2020,Zero means there is no PPI investment captured in the year,"World Bank, Private Participation in Infrastructure (PPI) Database.",,0.0
2001,GF_COM_PPPI,231,USD,2022-09-19T00:00:00,A,6,2020,Zero means there is no PPI investment captured in the year,"World Bank, Private Participation in Infrastructure (PPI) Database.",,0.0
2002,GF_COM_PPPI,231,USD,2022-09-19T00:00:00,A,6,2020,Zero means there is no PPI investment captured in the year,"World Bank, Private Participation in Infrastructure (PPI) Database.",,0.0
2003,GF_COM_PPPI,231,USD,2022-09-19T00:00:00,A,6,2020,Zero means there is no PPI investment captured in the year,"World Bank, Private Participation in Infrastructure (PPI) Database.",,0.0
2004,GF_COM_PPPI,231,USD,2022-09-19T00:00:00,A,6,2020,Zero means there is no PPI investment captured in the year,"World Bank, Private Participation in Infrastructure (PPI) Database.",,0.0
2005,GF_COM_PPPI,231,USD,2022-09-19T00:00:00,A,6,2020,Zero means there is no PPI investment captured in the year,"World Bank, Private Participation in Infrastructure (PPI) Database.",,0.0
2006,GF_COM_PPPI,231,USD,2022-09-19T00:00:00,A,6,2020,Zero means there is no PPI investment captured in the year,"World Bank, Private Participation in Infrastructure (PPI) Database.",,0.0
2007,GF_COM_PPPI,231,USD,2022-09-19T00:00:00,A,6,2020,Zero means there is no PPI investment captured in the year,"World Bank, Private Participation in Infrastructure (PPI) Database.",,0.0
2008,GF_COM_PPPI,231,USD,2022-09-19T00:00:00,A,6,2020,Zero means there is no PPI investment captured in the year,"World Bank, Private Participation in Infrastructure (PPI) Database.",,0.0
2009,GF_COM_PPPI,231,USD,2022-09-19T00:00:00,A,6,2020,Zero means there is no PPI investment captured in the year,"World Bank, Private Participation in Infrastructure (PPI) Database.",,4.0
2010,GF_COM_PPPI,231,USD,2022-09-19T00:00:00,A,6,2020,Zero means there is no PPI investment captured in the year,"World Bank, Private Participation in Infrastructure (PPI) Database.",,0.0
2011,GF_COM_PPPI,231,USD,2022-09-19T00:00:00,A,6,2020,Zero means there is no PPI investment captured in the year,"World Bank, Private Participation in Infrastructure (PPI) Database.",,0.0
2012,GF_COM_PPPI,231,USD,2022-09-19T00:00:00,A,6,2020,Zero means there is no PPI investment captured in the year,"World Bank, Private Participation in Infrastructure (PPI) Database.",,0.0
2013,GF_COM_PPPI,231,USD,2022-09-19T00:00:00,A,6,2020,Zero means there is no PPI investment captured in the year,"World Bank, Private Participation in Infrastructure (PPI) Database.",,0.0
2014,GF_COM_PPPI,231,USD,2022-09-19T00:00:00,A,6,2020,Zero means there is no PPI investment captured in the year,"World Bank, Private Participation in Infrastructure (PPI) Database.",,120.0
2015,GF_COM_PPPI,231,USD,2022-09-19T00:00:00,A,6,2020,Zero means there is no PPI investment captured in the year,"World Bank, Private Participation in Infrastructure (PPI) Database.",,0.0
2016,GF_COM_PPPI,231,USD,2022-09-19T00:00:00,A,6,2020,Zero means there is no PPI investment captured in the year,"World Bank, Private Participation in Infrastructure (PPI) Database.",,0.0
2017,GF_COM_PPPI,231,USD,2022-09-19T00:00:00,A,6,2020,Zero means there is no PPI investment captured in the year,"World Bank, Private Participation in Infrastructure (PPI) Database.",,0.0
2018,GF_COM_PPPI,231,USD,2022-09-19T00:00:00,A,6,2020,Zero means there is no PPI investment captured in the year,"World Bank, Private Participation in Infrastructure (PPI) Database.",,0.0
2019,GF_COM_PPPI,231,USD,2022-09-19T00:00:00,A,6,2020,Zero means there is no PPI investment captured in the year,"World Bank, Private Participation in Infrastructure (PPI) Database.",,0.0
2020,GF_COM_PPPI,231,USD,2022-09-19T00:00:00,A,6,2020,Zero means there is no PPI investment captured in the year,"World Bank, Private Participation in Infrastructure (PPI) Database.",,0.0
2000,GF_COM_PPPI_KD,231,CON_USD,2022-09-19T00:00:00,A,6,2019,Zero means there is no PPI investment captured in the year,"World Bank, Private Participation in Infrastructure (PPI) Database.",2020,0.0
2001,GF_COM_PPPI_KD,231,CON_USD,2022-09-19T00:00:00,A,6,2019,Zero means there is no PPI investment captured in the year,"World Bank, Private Participation in Infrastructure (PPI) Database.",2020,0.0
2002,GF_COM_PPPI_KD,231,CON_USD,2022-09-19T00:00:00,A,6,2019,Zero means there is no PPI investment captured in the year,"World Bank, Private Participation in Infrastructure (PPI) Database.",2020,0.0
2003,GF_COM_PPPI_KD,231,CON_USD,2022-09-19T00:00:00,A,6,2019,Zero means there is no PPI investment captured in the year,"World Bank, Private Participation in Infrastructure (PPI) Database.",2020,0.0
2004,GF_COM_PPPI_KD,231,CON_USD,2022-09-19T00:00:00,A,6,2019,Zero means there is no PPI investment captured in the year,"World Bank, Private Participation in Infrastructure (PPI) Database.",2020,0.0
2005,GF_COM_PPPI_KD,231,CON_USD,2022-09-19T00:00:00,A,6,2019,Zero means there is no PPI investment captured in the year,"World Bank, Private Participation in Infrastructure (PPI) Database.",2020,0.0
2006,GF_COM_PPPI_KD,231,CON_USD,2022-09-19T00:00:00,A,6,2019,Zero means there is no PPI investment captured in the year,"World Bank, Private Participation in Infrastructure (PPI) Database.",2020,0.0
2007,GF_COM_PPPI_KD,231,CON_USD,2022-09-19T00:00:00,A,6,2019,Zero means there is no PPI investment captured in the year,"World Bank, Private Participation in Infrastructure (PPI) Database.",2020,0.0
2008,GF_COM_PPPI_KD,231,CON_USD,2022-09-19T00:00:00,A,6,2019,Zero means there is no PPI investment captured in the year,"World Bank, Private Participation in Infrastructure (PPI) Database.",2020,0.0
2009,GF_COM_PPPI_KD,231,CON_USD,2022-09-19T00:00:00,A,6,2019,Zero means there is no PPI investment captured in the year,"World Bank, Private Participation in Infrastructure (PPI) Database.",2020,4.7667
2010,GF_COM_PPPI_KD,231,CON_USD,2022-09-19T00:00:00,A,6,2019,Zero means there is no PPI investment captured in the year,"World Bank, Private Participation in Infrastructure (PPI) Database.",2020,0.0
2011,GF_COM_PPPI_KD,231,CON_USD,2022-09-19T00:00:00,A,6,2019,Zero means there is no PPI investment captured in the year,"World Bank, Private Participation in Infrastructure (PPI) Database.",2020,0.0
