Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2010,A,0,Sum of country-specific and unallocated disbursements received by all countries,2022 Partner Report on Support to Statistics (PRESS),SG_STT_CAPTY,12,USD,2025-05-09T00:00:00,2022,1271826
2011,A,0,Sum of country-specific and unallocated disbursements received by all countries,2022 Partner Report on Support to Statistics (PRESS),SG_STT_CAPTY,12,USD,2025-05-09T00:00:00,2022,2562200
2012,A,0,Sum of country-specific and unallocated disbursements received by all countries,2022 Partner Report on Support to Statistics (PRESS),SG_STT_CAPTY,12,USD,2025-05-09T00:00:00,2022,984005
2013,A,0,Sum of country-specific and unallocated disbursements received by all countries,2022 Partner Report on Support to Statistics (PRESS),SG_STT_CAPTY,12,USD,2025-05-09T00:00:00,2022,1001951
2014,A,0,Sum of country-specific and unallocated disbursements received by all countries,2022 Partner Report on Support to Statistics (PRESS),SG_STT_CAPTY,12,USD,2025-05-09T00:00:00,2022,588787
2015,A,0,Sum of country-specific and unallocated disbursements received by all countries,2022 Partner Report on Support to Statistics (PRESS),SG_STT_CAPTY,12,USD,2025-05-09T00:00:00,2022,292723
2016,A,0,Sum of country-specific and unallocated disbursements received by all countries,2022 Partner Report on Support to Statistics (PRESS),SG_STT_CAPTY,12,USD,2025-05-09T00:00:00,2022,28412
2017,A,0,Sum of country-specific and unallocated disbursements received by all countries,2022 Partner Report on Support to Statistics (PRESS),SG_STT_CAPTY,12,USD,2025-05-09T00:00:00,2022,440666
2018,A,0,Sum of country-specific and unallocated disbursements received by all countries,2022 Partner Report on Support to Statistics (PRESS),SG_STT_CAPTY,12,USD,2025-05-09T00:00:00,2022,784287
2019,A,0,Sum of country-specific and unallocated disbursements received by all countries,2022 Partner Report on Support to Statistics (PRESS),SG_STT_CAPTY,12,USD,2025-05-09T00:00:00,2022,1541143
2020,A,0,Sum of country-specific and unallocated disbursements received by all countries,2022 Partner Report on Support to Statistics (PRESS),SG_STT_CAPTY,12,USD,2025-05-09T00:00:00,2022,40033
2021,A,0,Sum of country-specific and unallocated disbursements received by all countries,2022 Partner Report on Support to Statistics (PRESS),SG_STT_CAPTY,12,USD,2025-05-09T00:00:00,2022,158218
2022,A,0,Sum of country-specific and unallocated disbursements received by all countries,2022 Partner Report on Support to Statistics (PRESS),SG_STT_CAPTY,12,USD,2025-05-09T00:00:00,2022,37221
