Year,OBS_STATUS,UNIT_MULT,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,10.7,7.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,None,Y0T4,PT,2025-03-27T00:00:00,2024,22.4
2001,A,0,10.7,7.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,None,Y0T4,PT,2025-03-27T00:00:00,2024,21.6
2002,A,0,10.7,7.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,None,Y0T4,PT,2025-03-27T00:00:00,2024,20.8
2003,A,0,10.7,7.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,None,Y0T4,PT,2025-03-27T00:00:00,2024,19.9
2004,A,0,10.7,7.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,None,Y0T4,PT,2025-03-27T00:00:00,2024,19.0
2005,A,0,10.7,7.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,None,Y0T4,PT,2025-03-27T00:00:00,2024,18.0
2006,A,0,10.7,7.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,None,Y0T4,PT,2025-03-27T00:00:00,2024,17.1
2007,A,0,10.7,7.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,None,Y0T4,PT,2025-03-27T00:00:00,2024,16.1
2008,A,0,10.7,7.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,None,Y0T4,PT,2025-03-27T00:00:00,2024,15.1
2009,A,0,10.7,7.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,None,Y0T4,PT,2025-03-27T00:00:00,2024,14.2
2010,A,0,10.7,7.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,None,Y0T4,PT,2025-03-27T00:00:00,2024,13.4
2011,A,0,10.7,7.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,None,Y0T4,PT,2025-03-27T00:00:00,2024,12.6
2012,A,0,10.7,7.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,None,Y0T4,PT,2025-03-27T00:00:00,2024,12.0
2013,A,0,10.7,7.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,None,Y0T4,PT,2025-03-27T00:00:00,2024,11.6
2014,A,0,10.7,7.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,None,Y0T4,PT,2025-03-27T00:00:00,2024,11.2
2015,A,0,10.7,7.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,None,Y0T4,PT,2025-03-27T00:00:00,2024,10.8
2016,A,0,10.7,7.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,None,Y0T4,PT,2025-03-27T00:00:00,2024,10.4
2017,A,0,10.7,7.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,None,Y0T4,PT,2025-03-27T00:00:00,2024,10.1
2018,A,0,10.7,7.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,None,Y0T4,PT,2025-03-27T00:00:00,2024,9.7
2019,A,0,10.7,7.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,None,Y0T4,PT,2025-03-27T00:00:00,2024,9.4
2020,A,0,10.7,7.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,None,Y0T4,PT,2025-03-27T00:00:00,2024,9.2
2021,A,0,10.7,7.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,None,Y0T4,PT,2025-03-27T00:00:00,2024,9.0
2022,A,0,10.7,7.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,None,Y0T4,PT,2025-03-27T00:00:00,2024,8.9
2023,A,0,10.7,7.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,None,Y0T4,PT,2025-03-27T00:00:00,2024,8.9
2024,A,0,10.7,7.4,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,None,Y0T4,PT,2025-03-27T00:00:00,2024,8.9
2000,A,0,10.1,7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,F,Y0T4,PT,2025-03-27T00:00:00,2024,21.4
2001,A,0,10.1,7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,F,Y0T4,PT,2025-03-27T00:00:00,2024,20.7
2002,A,0,10.1,7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,F,Y0T4,PT,2025-03-27T00:00:00,2024,19.8
2003,A,0,10.1,7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,F,Y0T4,PT,2025-03-27T00:00:00,2024,18.9
2004,A,0,10.1,7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,F,Y0T4,PT,2025-03-27T00:00:00,2024,18.0
2005,A,0,10.1,7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,F,Y0T4,PT,2025-03-27T00:00:00,2024,17.1
2006,A,0,10.1,7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,F,Y0T4,PT,2025-03-27T00:00:00,2024,16.2
2007,A,0,10.1,7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,F,Y0T4,PT,2025-03-27T00:00:00,2024,15.3
2008,A,0,10.1,7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,F,Y0T4,PT,2025-03-27T00:00:00,2024,14.3
2009,A,0,10.1,7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,F,Y0T4,PT,2025-03-27T00:00:00,2024,13.4
2010,A,0,10.1,7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,F,Y0T4,PT,2025-03-27T00:00:00,2024,12.6
2011,A,0,10.1,7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,F,Y0T4,PT,2025-03-27T00:00:00,2024,11.9
2012,A,0,10.1,7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,F,Y0T4,PT,2025-03-27T00:00:00,2024,11.3
2013,A,0,10.1,7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,F,Y0T4,PT,2025-03-27T00:00:00,2024,10.9
2014,A,0,10.1,7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,F,Y0T4,PT,2025-03-27T00:00:00,2024,10.5
2015,A,0,10.1,7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,F,Y0T4,PT,2025-03-27T00:00:00,2024,10.2
2016,A,0,10.1,7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,F,Y0T4,PT,2025-03-27T00:00:00,2024,9.8
2017,A,0,10.1,7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,F,Y0T4,PT,2025-03-27T00:00:00,2024,9.5
2018,A,0,10.1,7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,F,Y0T4,PT,2025-03-27T00:00:00,2024,9.1
2019,A,0,10.1,7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,F,Y0T4,PT,2025-03-27T00:00:00,2024,8.8
2020,A,0,10.1,7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,F,Y0T4,PT,2025-03-27T00:00:00,2024,8.6
2021,A,0,10.1,7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,F,Y0T4,PT,2025-03-27T00:00:00,2024,8.5
2022,A,0,10.1,7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,F,Y0T4,PT,2025-03-27T00:00:00,2024,8.4
2023,A,0,10.1,7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,F,Y0T4,PT,2025-03-27T00:00:00,2024,8.4
2024,A,0,10.1,7,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,F,Y0T4,PT,2025-03-27T00:00:00,2024,8.4
2000,A,0,11.4,7.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,M,Y0T4,PT,2025-03-27T00:00:00,2024,23.4
2001,A,0,11.4,7.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,M,Y0T4,PT,2025-03-27T00:00:00,2024,22.6
2002,A,0,11.4,7.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,M,Y0T4,PT,2025-03-27T00:00:00,2024,21.8
2003,A,0,11.4,7.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,M,Y0T4,PT,2025-03-27T00:00:00,2024,20.9
2004,A,0,11.4,7.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,M,Y0T4,PT,2025-03-27T00:00:00,2024,19.9
2005,A,0,11.4,7.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,M,Y0T4,PT,2025-03-27T00:00:00,2024,19.0
2006,A,0,11.4,7.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,M,Y0T4,PT,2025-03-27T00:00:00,2024,18.0
2007,A,0,11.4,7.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,M,Y0T4,PT,2025-03-27T00:00:00,2024,17.0
2008,A,0,11.4,7.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,M,Y0T4,PT,2025-03-27T00:00:00,2024,16.0
2009,A,0,11.4,7.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,M,Y0T4,PT,2025-03-27T00:00:00,2024,15.0
2010,A,0,11.4,7.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,M,Y0T4,PT,2025-03-27T00:00:00,2024,14.1
2011,A,0,11.4,7.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,M,Y0T4,PT,2025-03-27T00:00:00,2024,13.4
2012,A,0,11.4,7.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,M,Y0T4,PT,2025-03-27T00:00:00,2024,12.8
2013,A,0,11.4,7.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,M,Y0T4,PT,2025-03-27T00:00:00,2024,12.3
2014,A,0,11.4,7.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,M,Y0T4,PT,2025-03-27T00:00:00,2024,11.8
2015,A,0,11.4,7.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,M,Y0T4,PT,2025-03-27T00:00:00,2024,11.5
2016,A,0,11.4,7.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,M,Y0T4,PT,2025-03-27T00:00:00,2024,11.1
2017,A,0,11.4,7.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,M,Y0T4,PT,2025-03-27T00:00:00,2024,10.7
2018,A,0,11.4,7.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,M,Y0T4,PT,2025-03-27T00:00:00,2024,10.3
2019,A,0,11.4,7.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_STNT,12,M,Y0T4,PT,2025-03-27T00:00:00,2024,10.0
