Year,SERIES,REF_AREA,SEX,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,Value
2000,SH_STA_MORT,231,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,A,0,2023,332.02425,128.3995,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,870.45903
2001,SH_STA_MORT,231,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,A,0,2023,332.02425,128.3995,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,856.45412
2002,SH_STA_MORT,231,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,A,0,2023,332.02425,128.3995,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,825.94323
2003,SH_STA_MORT,231,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,A,0,2023,332.02425,128.3995,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,797.12364
2004,SH_STA_MORT,231,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,A,0,2023,332.02425,128.3995,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,763.85947
2005,SH_STA_MORT,231,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,A,0,2023,332.02425,128.3995,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,753.78809
2006,SH_STA_MORT,231,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,A,0,2023,332.02425,128.3995,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,728.78735
2007,SH_STA_MORT,231,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,A,0,2023,332.02425,128.3995,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,704.15256
2008,SH_STA_MORT,231,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,A,0,2023,332.02425,128.3995,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,677.69122
2009,SH_STA_MORT,231,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,A,0,2023,332.02425,128.3995,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,649.08795
2010,SH_STA_MORT,231,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,A,0,2023,332.02425,128.3995,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,618.52484
2011,SH_STA_MORT,231,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,A,0,2023,332.02425,128.3995,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,587.66202
2012,SH_STA_MORT,231,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,A,0,2023,332.02425,128.3995,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,545.37513
2013,SH_STA_MORT,231,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,A,0,2023,332.02425,128.3995,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,494.05035
2014,SH_STA_MORT,231,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,A,0,2023,332.02425,128.3995,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,444.44552
2015,SH_STA_MORT,231,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,A,0,2023,332.02425,128.3995,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,400.69462
2016,SH_STA_MORT,231,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,A,0,2023,332.02425,128.3995,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,364.015
2017,SH_STA_MORT,231,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,A,0,2023,332.02425,128.3995,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,327.1084
2018,SH_STA_MORT,231,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,A,0,2023,332.02425,128.3995,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,296.56103
2019,SH_STA_MORT,231,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,A,0,2023,332.02425,128.3995,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,268.79503
2020,SH_STA_MORT,231,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,A,0,2023,332.02425,128.3995,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,243.89641
2021,SH_STA_MORT,231,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,A,0,2023,332.02425,128.3995,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,249.62121
2022,SH_STA_MORT,231,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,A,0,2023,332.02425,128.3995,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,207.47857
2023,SH_STA_MORT,231,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,A,0,2023,332.02425,128.3995,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,194.93685
