Year,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,Value
2000,SH_STA_MALR,231,PER_1000_POP,2025-02-12T00:00:00,A,0,2023,163.30534,60.54031,WMR,196.06395
2001,SH_STA_MALR,231,PER_1000_POP,2025-02-12T00:00:00,A,0,2023,163.30534,60.54031,WMR,214.96276
2002,SH_STA_MALR,231,PER_1000_POP,2025-02-12T00:00:00,A,0,2023,163.30534,60.54031,WMR,196.54862
2003,SH_STA_MALR,231,PER_1000_POP,2025-02-12T00:00:00,A,0,2023,163.30534,60.54031,WMR,211.37063
2004,SH_STA_MALR,231,PER_1000_POP,2025-02-12T00:00:00,A,0,2023,163.30534,60.54031,WMR,219.25921
2005,SH_STA_MALR,231,PER_1000_POP,2025-02-12T00:00:00,A,0,2023,163.30534,60.54031,WMR,150.19721
2006,SH_STA_MALR,231,PER_1000_POP,2025-02-12T00:00:00,A,0,2023,163.30534,60.54031,WMR,138.41473
2007,SH_STA_MALR,231,PER_1000_POP,2025-02-12T00:00:00,A,0,2023,163.30534,60.54031,WMR,116.54401
2008,SH_STA_MALR,231,PER_1000_POP,2025-02-12T00:00:00,A,0,2023,163.30534,60.54031,WMR,96.46155
2009,SH_STA_MALR,231,PER_1000_POP,2025-02-12T00:00:00,A,0,2023,163.30534,60.54031,WMR,134.0494
2010,SH_STA_MALR,231,PER_1000_POP,2025-02-12T00:00:00,A,0,2023,163.30534,60.54031,WMR,154.11867
2011,SH_STA_MALR,231,PER_1000_POP,2025-02-12T00:00:00,A,0,2023,163.30534,60.54031,WMR,144.04463
2012,SH_STA_MALR,231,PER_1000_POP,2025-02-12T00:00:00,A,0,2023,163.30534,60.54031,WMR,160.0346
2013,SH_STA_MALR,231,PER_1000_POP,2025-02-12T00:00:00,A,0,2023,163.30534,60.54031,WMR,184.7863
2014,SH_STA_MALR,231,PER_1000_POP,2025-02-12T00:00:00,A,0,2023,163.30534,60.54031,WMR,145.66629
2015,SH_STA_MALR,231,PER_1000_POP,2025-02-12T00:00:00,A,0,2023,163.30534,60.54031,WMR,131.74211
2016,SH_STA_MALR,231,PER_1000_POP,2025-02-12T00:00:00,A,0,2023,163.30534,60.54031,WMR,93.73169
2017,SH_STA_MALR,231,PER_1000_POP,2025-02-12T00:00:00,A,0,2023,163.30534,60.54031,WMR,71.16516
2018,SH_STA_MALR,231,PER_1000_POP,2025-02-12T00:00:00,A,0,2023,163.30534,60.54031,WMR,36.46071
2019,SH_STA_MALR,231,PER_1000_POP,2025-02-12T00:00:00,A,0,2023,163.30534,60.54031,WMR,33.61049
2020,SH_STA_MALR,231,PER_1000_POP,2025-02-12T00:00:00,A,0,2023,163.30534,60.54031,WMR,52.28212
2021,SH_STA_MALR,231,PER_1000_POP,2025-02-12T00:00:00,A,0,2023,163.30534,60.54031,WMR,45.55934
2022,SH_STA_MALR,231,PER_1000_POP,2025-02-12T00:00:00,A,0,2023,163.30534,60.54031,WMR,59.88727
2023,SH_STA_MALR,231,PER_1000_POP,2025-02-12T00:00:00,A,0,2023,163.30534,60.54031,WMR,109.2393
