Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2002,A,0,Algeria 2018-2019 Multiple Indicator Cluster Survey,SP_DYN_ADKL,12,F,Y10T14,PER_1000_POP,2025-03-12T00:00:00,2016-2019,0.261155
2005,A,0,Algeria 2018-2019 Multiple Indicator Cluster Survey,SP_DYN_ADKL,12,F,Y10T14,PER_1000_POP,2025-03-12T00:00:00,2016-2019,0.201883
2006,A,0,Algeria 2018-2019 Multiple Indicator Cluster Survey,SP_DYN_ADKL,12,F,Y10T14,PER_1000_POP,2025-03-12T00:00:00,2016-2019,0.161965
2008,A,0,Algeria 2018-2019 Multiple Indicator Cluster Survey,SP_DYN_ADKL,12,F,Y10T14,PER_1000_POP,2025-03-12T00:00:00,2016-2019,0.017461
2010,A,0,Algeria 2018-2019 Multiple Indicator Cluster Survey,SP_DYN_ADKL,12,F,Y10T14,PER_1000_POP,2025-03-12T00:00:00,2016-2019,0.028013
2011,A,0,Algeria 2018-2019 Multiple Indicator Cluster Survey,SP_DYN_ADKL,12,F,Y10T14,PER_1000_POP,2025-03-12T00:00:00,2016-2019,0.052888
2014,A,0,Algeria 2018-2019 Multiple Indicator Cluster Survey,SP_DYN_ADKL,12,F,Y10T14,PER_1000_POP,2025-03-12T00:00:00,2016-2019,0.116717
2016,A,0,Algeria 2018-2019 Multiple Indicator Cluster Survey,SP_DYN_ADKL,12,F,Y10T14,PER_1000_POP,2025-03-12T00:00:00,2016-2019,0.019093
2017,A,0,Algeria 2018-2019 Multiple Indicator Cluster Survey,SP_DYN_ADKL,12,F,Y10T14,PER_1000_POP,2025-03-12T00:00:00,2016-2019,0.0
2002,A,0,Registration National Statistics,SP_DYN_ADKL,12,F,Y15T19,PER_1000_POP,2025-03-12T00:00:00,2019,8.214384
2005,A,0,Registration National Statistics,SP_DYN_ADKL,12,F,Y15T19,PER_1000_POP,2025-03-12T00:00:00,2019,9.008064
2006,A,0,Registration National Statistics,SP_DYN_ADKL,12,F,Y15T19,PER_1000_POP,2025-03-12T00:00:00,2019,10.057312
2007,A,0,Registration National Statistics,SP_DYN_ADKL,12,F,Y15T19,PER_1000_POP,2025-03-12T00:00:00,2019,9.0
2008,A,0,Registration National Statistics,SP_DYN_ADKL,12,F,Y15T19,PER_1000_POP,2025-03-12T00:00:00,2019,8.8
2009,A,0,Registration National Statistics,SP_DYN_ADKL,12,F,Y15T19,PER_1000_POP,2025-03-12T00:00:00,2019,9.6
2010,A,0,Registration National Statistics,SP_DYN_ADKL,12,F,Y15T19,PER_1000_POP,2025-03-12T00:00:00,2019,9.1
2011,A,0,Registration National Statistics,SP_DYN_ADKL,12,F,Y15T19,PER_1000_POP,2025-03-12T00:00:00,2019,9.5
2012,A,0,Registration National Statistics,SP_DYN_ADKL,12,F,Y15T19,PER_1000_POP,2025-03-12T00:00:00,2019,9.1
2013,A,0,Registration National Statistics,SP_DYN_ADKL,12,F,Y15T19,PER_1000_POP,2025-03-12T00:00:00,2019,9.8
2014,A,0,Registration National Statistics,SP_DYN_ADKL,12,F,Y15T19,PER_1000_POP,2025-03-12T00:00:00,2019,9.2
2015,A,0,Registration National Statistics,SP_DYN_ADKL,12,F,Y15T19,PER_1000_POP,2025-03-12T00:00:00,2019,9.7
2016,A,0,Registration National Statistics,SP_DYN_ADKL,12,F,Y15T19,PER_1000_POP,2025-03-12T00:00:00,2019,10.3
2017,A,0,Registration National Statistics,SP_DYN_ADKL,12,F,Y15T19,PER_1000_POP,2025-03-12T00:00:00,2019,9.8
2018,A,0,Registration National Statistics,SP_DYN_ADKL,12,F,Y15T19,PER_1000_POP,2025-03-12T00:00:00,2019,9.1
2019,A,0,Registration National Statistics,SP_DYN_ADKL,12,F,Y15T19,PER_1000_POP,2025-03-12T00:00:00,2019,11.0
