Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2013,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_TOT_CPLR,12,None,None,None,ISCED11_1,PT,2025-03-05T00:00:00,2019,94.24063
2019,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_TOT_CPLR,12,None,None,None,ISCED11_1,PT,2025-03-05T00:00:00,2019,94.05358
2013,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_TOT_CPLR,12,None,None,None,ISCED11_2,PT,2025-03-05T00:00:00,2019,56.50295
2019,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_TOT_CPLR,12,None,None,None,ISCED11_2,PT,2025-03-05T00:00:00,2019,73.24459
2013,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_TOT_CPLR,12,None,None,None,ISCED11_3,PT,2025-03-05T00:00:00,2019,29.42439
2019,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_TOT_CPLR,12,None,None,None,ISCED11_3,PT,2025-03-05T00:00:00,2019,46.47405
2013,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_TOT_CPLR,12,None,None,Q1,ISCED11_1,PT,2025-03-05T00:00:00,2019,86.72833
2019,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_TOT_CPLR,12,None,None,Q1,ISCED11_1,PT,2025-03-05T00:00:00,2019,85.90644
2013,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_TOT_CPLR,12,None,None,Q1,ISCED11_2,PT,2025-03-05T00:00:00,2019,38.04037
2019,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_TOT_CPLR,12,None,None,Q1,ISCED11_2,PT,2025-03-05T00:00:00,2019,53.77012
2013,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_TOT_CPLR,12,None,None,Q1,ISCED11_3,PT,2025-03-05T00:00:00,2019,16.7002
2019,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_TOT_CPLR,12,None,None,Q1,ISCED11_3,PT,2025-03-05T00:00:00,2019,25.03454
2013,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_TOT_CPLR,12,None,None,Q2,ISCED11_1,PT,2025-03-05T00:00:00,2019,95.42671
2019,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_TOT_CPLR,12,None,None,Q2,ISCED11_1,PT,2025-03-05T00:00:00,2019,92.76512
2013,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_TOT_CPLR,12,None,None,Q2,ISCED11_2,PT,2025-03-05T00:00:00,2019,48.74567
2019,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_TOT_CPLR,12,None,None,Q2,ISCED11_2,PT,2025-03-05T00:00:00,2019,68.30083
2013,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_TOT_CPLR,12,None,None,Q2,ISCED11_3,PT,2025-03-05T00:00:00,2019,19.59646
2019,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_TOT_CPLR,12,None,None,Q2,ISCED11_3,PT,2025-03-05T00:00:00,2019,31.36052
2013,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_TOT_CPLR,12,None,None,Q3,ISCED11_1,PT,2025-03-05T00:00:00,2019,94.25184
2019,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_TOT_CPLR,12,None,None,Q3,ISCED11_1,PT,2025-03-05T00:00:00,2019,95.77219
2013,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_TOT_CPLR,12,None,None,Q3,ISCED11_2,PT,2025-03-05T00:00:00,2019,55.32464
2019,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_TOT_CPLR,12,None,None,Q3,ISCED11_2,PT,2025-03-05T00:00:00,2019,71.8055
2013,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_TOT_CPLR,12,None,None,Q3,ISCED11_3,PT,2025-03-05T00:00:00,2019,27.36616
2019,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_TOT_CPLR,12,None,None,Q3,ISCED11_3,PT,2025-03-05T00:00:00,2019,43.25335
