Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,URBANISATION,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2018,A,0,Aged 15 and older. Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,None,None,SKILL_DLDONLD,PT,2025-03-14T00:00:00,2018,27.3
2018,A,0,Aged 15 and older. Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,None,None,SKILL_FONLCRS,PT,2025-03-14T00:00:00,2018,15.7
2018,A,0,Aged 15 and older. Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,None,None,SKILL_GSINF,PT,2025-03-14T00:00:00,2018,23.5
2018,A,0,Aged 15 and older. Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,None,None,SKILL_GSPUR,PT,2025-03-14T00:00:00,2018,11.3
2018,A,0,Aged 15 and older. Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,None,None,SKILL_HLTHINF,PT,2025-03-14T00:00:00,2018,20.5
2018,A,0,Aged 15 and older.,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,None,None,SKILL_ICTATCH,PT,2025-03-14T00:00:00,2018,16.1
2018,A,0,Aged 15 and older.,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,None,None,SKILL_ICTCDV,PT,2025-03-14T00:00:00,2018,16.2
2018,A,0,Aged 15 and older.,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,None,None,SKILL_ICTCPT,PT,2025-03-14T00:00:00,2018,17.7
2018,A,0,Aged 15 and older.,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,None,None,SKILL_ICTPRGM,PT,2025-03-14T00:00:00,2018,6.9
2018,A,0,Aged 15 and older.,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,None,None,SKILL_ICTPST,PT,2025-03-14T00:00:00,2018,7.2
2018,A,0,Aged 15 and older.,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,None,None,SKILL_ICTSFWR,PT,2025-03-14T00:00:00,2018,15.5
2018,A,0,Aged 15 and older.,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,None,None,SKILL_ICTSSHT,PT,2025-03-14T00:00:00,2018,9.4
2018,A,0,Aged 15 and older. Are calculated from the data of the last 12 months,"Ministry of Post, Telecommunications, Technologies and Digital",SE_ADT_ACTS,12,None,None,None,SKILL_INTBNK,PT,2025-03-14T00:00:00,2018,6.3
