Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,COMMENT_OBS,Value
2012,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,None,None,ISCED11_1,None,RO,2025-03-05T00:00:00,2019,,1.0115
2013,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,None,None,ISCED11_1,None,RO,2025-03-05T00:00:00,2019,,1.01155
2019,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,None,None,ISCED11_1,None,RO,2025-03-05T00:00:00,2019,,1.03118
2012,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,None,None,ISCED11_2,None,RO,2025-03-05T00:00:00,2019,,1.24795
2013,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,None,None,ISCED11_2,None,RO,2025-03-05T00:00:00,2019,,1.24808
2019,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,None,None,ISCED11_2,None,RO,2025-03-05T00:00:00,2019,,1.18236
2012,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,None,None,ISCED11_3,None,RO,2025-03-05T00:00:00,2019,,1.41006
2013,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,None,None,ISCED11_3,None,RO,2025-03-05T00:00:00,2019,,1.40988
2019,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,None,None,ISCED11_3,None,RO,2025-03-05T00:00:00,2019,,1.41486
2013,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,None,Q1,ISCED11_1,None,RO,2025-03-05T00:00:00,2019,,0.98244
2019,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,None,Q1,ISCED11_1,None,RO,2025-03-05T00:00:00,2019,,1.0691
2013,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,None,Q1,ISCED11_2,None,RO,2025-03-05T00:00:00,2019,,1.36224
2019,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,None,Q1,ISCED11_2,None,RO,2025-03-05T00:00:00,2019,,1.21254
2013,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,None,Q1,ISCED11_3,None,RO,2025-03-05T00:00:00,2019,,1.45873
2019,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,None,Q1,ISCED11_3,None,RO,2025-03-05T00:00:00,2019,,1.49969
2013,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,None,Q2,ISCED11_1,None,RO,2025-03-05T00:00:00,2019,,1.01657
2019,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,None,Q2,ISCED11_1,None,RO,2025-03-05T00:00:00,2019,,1.01817
2013,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,None,Q2,ISCED11_2,None,RO,2025-03-05T00:00:00,2019,,1.29524
2019,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,None,Q2,ISCED11_2,None,RO,2025-03-05T00:00:00,2019,,1.19518
2013,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,None,Q2,ISCED11_3,None,RO,2025-03-05T00:00:00,2019,,1.46918
2019,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,None,Q2,ISCED11_3,None,RO,2025-03-05T00:00:00,2019,,1.49792
2013,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,None,Q3,ISCED11_1,None,RO,2025-03-05T00:00:00,2019,,1.02367
2019,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,None,Q3,ISCED11_1,None,RO,2025-03-05T00:00:00,2019,,1.03932
2013,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,None,Q3,ISCED11_2,None,RO,2025-03-05T00:00:00,2019,,1.20568
2019,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,None,Q3,ISCED11_2,None,RO,2025-03-05T00:00:00,2019,,1.22747
2013,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,None,Q3,ISCED11_3,None,RO,2025-03-05T00:00:00,2019,,1.50639
2019,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,None,Q3,ISCED11_3,None,RO,2025-03-05T00:00:00,2019,,1.45282
2013,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,None,Q4,ISCED11_1,None,RO,2025-03-05T00:00:00,2019,,1.01513
2019,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,None,Q4,ISCED11_1,None,RO,2025-03-05T00:00:00,2019,,1.02025
2013,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,None,Q4,ISCED11_2,None,RO,2025-03-05T00:00:00,2019,,1.25159
2019,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,None,Q4,ISCED11_2,None,RO,2025-03-05T00:00:00,2019,,1.18249
2013,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,None,Q4,ISCED11_3,None,RO,2025-03-05T00:00:00,2019,,1.42652
2019,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,None,Q4,ISCED11_3,None,RO,2025-03-05T00:00:00,2019,,1.41221
2013,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,None,Q5,ISCED11_1,None,RO,2025-03-05T00:00:00,2019,,1.00893
2019,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,None,Q5,ISCED11_1,None,RO,2025-03-05T00:00:00,2019,,1.00364
2013,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,None,Q5,ISCED11_2,None,RO,2025-03-05T00:00:00,2019,,1.17125
2019,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,None,Q5,ISCED11_2,None,RO,2025-03-05T00:00:00,2019,,1.1052
2013,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,None,Q5,ISCED11_3,None,RO,2025-03-05T00:00:00,2019,,1.26102
2019,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,None,Q5,ISCED11_3,None,RO,2025-03-05T00:00:00,2019,,1.25544
2013,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,R,None,ISCED11_1,None,RO,2025-03-05T00:00:00,2019,,0.98232
2019,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,R,None,ISCED11_1,None,RO,2025-03-05T00:00:00,2019,,1.03611
2013,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,R,None,ISCED11_2,None,RO,2025-03-05T00:00:00,2019,,1.24116
2019,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,R,None,ISCED11_2,None,RO,2025-03-05T00:00:00,2019,,1.19461
2013,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,R,None,ISCED11_3,None,RO,2025-03-05T00:00:00,2019,,1.42783
2019,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,R,None,ISCED11_3,None,RO,2025-03-05T00:00:00,2019,,1.48692
2013,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,R,Q1,ISCED11_1,None,RO,2025-03-05T00:00:00,2019,,0.94798
2019,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,R,Q1,ISCED11_1,None,RO,2025-03-05T00:00:00,2019,,1.04631
2013,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,R,Q1,ISCED11_2,None,RO,2025-03-05T00:00:00,2019,,1.32615
2019,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,R,Q1,ISCED11_2,None,RO,2025-03-05T00:00:00,2019,,1.20261
2013,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,R,Q1,ISCED11_3,None,RO,2025-03-05T00:00:00,2019,,1.3941
2019,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,R,Q1,ISCED11_3,None,RO,2025-03-05T00:00:00,2019,,1.50422
2013,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,R,Q2,ISCED11_1,None,RO,2025-03-05T00:00:00,2019,,0.99847
2019,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,R,Q2,ISCED11_1,None,RO,2025-03-05T00:00:00,2019,,1.02597
2013,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,R,Q2,ISCED11_2,None,RO,2025-03-05T00:00:00,2019,,1.24353
2019,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,R,Q2,ISCED11_2,None,RO,2025-03-05T00:00:00,2019,,1.17625
2013,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,R,Q2,ISCED11_3,None,RO,2025-03-05T00:00:00,2019,,1.42219
2019,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,R,Q2,ISCED11_3,None,RO,2025-03-05T00:00:00,2019,,1.52929
2013,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,R,Q3,ISCED11_1,None,RO,2025-03-05T00:00:00,2019,,0.97557
2019,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,R,Q3,ISCED11_1,None,RO,2025-03-05T00:00:00,2019,,1.04166
2013,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,R,Q3,ISCED11_2,None,RO,2025-03-05T00:00:00,2019,,1.22062
2019,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,R,Q3,ISCED11_2,None,RO,2025-03-05T00:00:00,2019,,1.21727
2013,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,R,Q3,ISCED11_3,None,RO,2025-03-05T00:00:00,2019,,1.39773
2019,A,0,Algeria MICS 2019. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above. Data extracted on 25 February 2025.,SE_AGP_CPRA,12,None,R,Q3,ISCED11_3,None,RO,2025-03-05T00:00:00,2019,,1.34652
