Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,COMMENT_OBS,Value
2018,A,0,Administrative data based on 2017 data election results. Data provided by the National Statistical Office. Compiled by UNECA African Centre for Statistics and UN Women.,SG_GEN_LOCGELS,12,F,PT,2025-04-17T00:00:00,2018,,17.58929
2000,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,12,F,PT,2025-04-21T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",3.16
2001,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,12,F,PT,2025-04-21T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",3.42
2002,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,12,F,PT,2025-04-21T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",3.42
2003,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,12,F,PT,2025-04-21T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",6.17
2004,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,12,F,PT,2025-04-21T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",6.17
2005,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,12,F,PT,2025-04-21T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",6.17
2006,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,12,F,PT,2025-04-21T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",6.17
2007,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,12,F,PT,2025-04-21T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",6.17
2008,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,12,F,PT,2025-04-21T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",7.71
2009,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,12,F,PT,2025-04-21T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",7.71
2010,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,12,F,PT,2025-04-21T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",7.71
2011,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,12,F,PT,2025-04-21T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",7.71
2012,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,12,F,PT,2025-04-21T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",7.97
2013,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,12,F,PT,2025-04-21T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",31.6
2014,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,12,F,PT,2025-04-21T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",31.6
2015,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,12,F,PT,2025-04-21T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",31.6
2016,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,12,F,PT,2025-04-21T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",31.6
2017,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,12,F,PT,2025-04-21T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",31.6
2018,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,12,F,PT,2025-04-21T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",25.76
2019,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,12,F,PT,2025-04-21T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",25.76
2020,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,12,F,PT,2025-04-21T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",25.76
2021,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,12,F,PT,2025-04-21T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",25.97
2022,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,12,F,PT,2025-04-21T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",8.11
2023,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,12,F,PT,2025-04-21T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",7.86
2024,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,12,F,PT,2025-04-21T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",7.86
2025,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARL,12,F,PT,2025-04-21T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",7.86
2000,A,0,"Inter-Parliamentary Union (IPU), Parline Database",SG_GEN_PARLN,12,F,NUMBER,2025-05-19T00:00:00,2025,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",12.0
