Year,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,Value
2000,SH_H2O_SAFE,231,None,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",5.04385
2001,SH_H2O_SAFE,231,None,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",5.42754
2002,SH_H2O_SAFE,231,None,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",5.59344
2003,SH_H2O_SAFE,231,None,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",5.7762
2004,SH_H2O_SAFE,231,None,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",5.97607
2005,SH_H2O_SAFE,231,None,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",6.19295
2006,SH_H2O_SAFE,231,None,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",6.42706
2007,SH_H2O_SAFE,231,None,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",6.68362
2008,SH_H2O_SAFE,231,None,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",7.01884
2009,SH_H2O_SAFE,231,None,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",7.37168
