Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,ACTIVITY,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,15.15
2001,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,14.91
2002,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,15.01
2003,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,15.49
2004,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,15.69
2005,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,16.45
2006,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,16.45
2007,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,16.67
2008,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,16.71
2009,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,15.98
2010,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,16.24
2011,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,16.29
2012,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,16.11
2013,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,15.65
2014,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,15.64
2015,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,15.37
2016,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,15.01
2017,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,14.56
2018,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,14.42
2019,A,0,Food and Agriculture Organisation of United Nations (FAO),ER_H2O_WUEYST,12,None,USD_PER_M3,2025-03-21T00:00:00,2018-2022,14.12
