Year,SERIES,REF_AREA,ACTIVITY,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,COMMENT_OBS,SOURCE_DETAIL,Value
2002,ER_H2O_STRESS,231,None,PT,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),17.0
2003,ER_H2O_STRESS,231,None,PT,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),19.34
2004,ER_H2O_STRESS,231,None,PT,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),21.69
2005,ER_H2O_STRESS,231,None,PT,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),24.04
2006,ER_H2O_STRESS,231,None,PT,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),24.79
2007,ER_H2O_STRESS,231,None,PT,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),25.54
2008,ER_H2O_STRESS,231,None,PT,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),26.28
2009,ER_H2O_STRESS,231,None,PT,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),27.03
2010,ER_H2O_STRESS,231,None,PT,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),27.78
2011,ER_H2O_STRESS,231,None,PT,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),28.52
2012,ER_H2O_STRESS,231,None,PT,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),29.27
2013,ER_H2O_STRESS,231,None,PT,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),30.02
2014,ER_H2O_STRESS,231,None,PT,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),30.76
2015,ER_H2O_STRESS,231,None,PT,2025-03-21T00:00:00,A,0,2018-2022,NaN = A figure was not provided,Food and Agriculture Organisation of United Nations (FAO),31.51
