Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2017,A,0,National Statistics Office,ER_H2O_IWRMD,12,PT,2025-03-21T00:00:00,2023,48
2020,A,0,National Statistics Office,ER_H2O_IWRMD,12,PT,2025-03-21T00:00:00,2023,54
2023,A,0,National Statistics Office,ER_H2O_IWRMD,12,PT,2025-03-21T00:00:00,2023,60
2017,A,0,National Statistics Office,ER_H2O_IWRMD_EE,12,PT,2024-05-08T00:00:00,2023,40
2020,A,0,National Statistics Office,ER_H2O_IWRMD_EE,12,PT,2024-05-08T00:00:00,2023,49
2023,A,0,National Statistics Office,ER_H2O_IWRMD_EE,12,PT,2024-05-08T00:00:00,2023,56
2017,A,0,National Statistics Office,ER_H2O_IWRMD_FI,12,PT,2024-05-08T00:00:00,2023,60
2020,A,0,National Statistics Office,ER_H2O_IWRMD_FI,12,PT,2024-05-08T00:00:00,2023,60
2023,A,0,National Statistics Office,ER_H2O_IWRMD_FI,12,PT,2024-05-08T00:00:00,2023,63
2017,A,0,National Statistics Office,ER_H2O_IWRMD_IP,12,PT,2024-05-08T00:00:00,2023,42
2020,A,0,National Statistics Office,ER_H2O_IWRMD_IP,12,PT,2024-05-08T00:00:00,2023,51
2023,A,0,National Statistics Office,ER_H2O_IWRMD_IP,12,PT,2024-05-08T00:00:00,2023,55
2017,A,0,National Statistics Office,ER_H2O_IWRMD_MI,12,PT,2024-05-08T00:00:00,2023,51
2020,A,0,National Statistics Office,ER_H2O_IWRMD_MI,12,PT,2024-05-08T00:00:00,2023,57
2023,A,0,National Statistics Office,ER_H2O_IWRMD_MI,12,PT,2024-05-08T00:00:00,2023,64
