Year,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,Value
2000,EG_FEC_RNEW,231,PT,2025-02-26T00:00:00,A,0,2022,"IEA (2024), World Energy Balances",94.85
2001,EG_FEC_RNEW,231,PT,2025-02-26T00:00:00,A,0,2022,"IEA (2024), World Energy Balances",93.75
2002,EG_FEC_RNEW,231,PT,2025-02-26T00:00:00,A,0,2022,"IEA (2024), World Energy Balances",93.68
2003,EG_FEC_RNEW,231,PT,2025-02-26T00:00:00,A,0,2022,"IEA (2024), World Energy Balances",93.34
2004,EG_FEC_RNEW,231,PT,2025-02-26T00:00:00,A,0,2022,"IEA (2024), World Energy Balances",93.23
2005,EG_FEC_RNEW,231,PT,2025-02-26T00:00:00,A,0,2022,"IEA (2024), World Energy Balances",93.91
2006,EG_FEC_RNEW,231,PT,2025-02-26T00:00:00,A,0,2022,"IEA (2024), World Energy Balances",93.71
2007,EG_FEC_RNEW,231,PT,2025-02-26T00:00:00,A,0,2022,"IEA (2024), World Energy Balances",93.34
2008,EG_FEC_RNEW,231,PT,2025-02-26T00:00:00,A,0,2022,"IEA (2024), World Energy Balances",93.22
2009,EG_FEC_RNEW,231,PT,2025-02-26T00:00:00,A,0,2022,"IEA (2024), World Energy Balances",93.33
2010,EG_FEC_RNEW,231,PT,2025-02-26T00:00:00,A,0,2022,"IEA (2024), World Energy Balances",93.26
2011,EG_FEC_RNEW,231,PT,2025-02-26T00:00:00,A,0,2022,"IEA (2024), World Energy Balances",92.62
2012,EG_FEC_RNEW,231,PT,2025-02-26T00:00:00,A,0,2022,"IEA (2024), World Energy Balances",92.29
2013,EG_FEC_RNEW,231,PT,2025-02-26T00:00:00,A,0,2022,"IEA (2024), World Energy Balances",91.36
2014,EG_FEC_RNEW,231,PT,2025-02-26T00:00:00,A,0,2022,"IEA (2024), World Energy Balances",90.22
2015,EG_FEC_RNEW,231,PT,2025-02-26T00:00:00,A,0,2022,"IEA (2024), World Energy Balances",90.27
2016,EG_FEC_RNEW,231,PT,2025-02-26T00:00:00,A,0,2022,"IEA (2024), World Energy Balances",89.08
2017,EG_FEC_RNEW,231,PT,2025-02-26T00:00:00,A,0,2022,"IEA (2024), World Energy Balances",89.43
2018,EG_FEC_RNEW,231,PT,2025-02-26T00:00:00,A,0,2022,"IEA (2024), World Energy Balances",88.58
2019,EG_FEC_RNEW,231,PT,2025-02-26T00:00:00,A,0,2022,"IEA (2024), World Energy Balances",87.74
2020,EG_FEC_RNEW,231,PT,2025-02-26T00:00:00,A,0,2022,"IEA (2024), World Energy Balances",88.68
2021,EG_FEC_RNEW,231,PT,2025-02-26T00:00:00,A,0,2022,"IEA (2024), World Energy Balances",87.81
2022,EG_FEC_RNEW,231,PT,2025-02-26T00:00:00,A,0,2022,"IEA (2024), World Energy Balances",88.29
