Year,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,BASE_PER,TIME_DETAIL,SOURCE_DETAIL,Value
2000,EG_EGY_PRIM,231,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,A,0,2021,2022,"IEA (2024), World Energy Balances",18.78
2001,EG_EGY_PRIM,231,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,A,0,2021,2022,"IEA (2024), World Energy Balances",18.19
2002,EG_EGY_PRIM,231,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,A,0,2021,2022,"IEA (2024), World Energy Balances",18.44
2003,EG_EGY_PRIM,231,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,A,0,2021,2022,"IEA (2024), World Energy Balances",19.46
2004,EG_EGY_PRIM,231,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,A,0,2021,2022,"IEA (2024), World Energy Balances",17.96
2005,EG_EGY_PRIM,231,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,A,0,2021,2022,"IEA (2024), World Energy Balances",16.32
2006,EG_EGY_PRIM,231,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,A,0,2021,2022,"IEA (2024), World Energy Balances",15.1
2007,EG_EGY_PRIM,231,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,A,0,2021,2022,"IEA (2024), World Energy Balances",13.97
2008,EG_EGY_PRIM,231,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,A,0,2021,2022,"IEA (2024), World Energy Balances",12.97
2009,EG_EGY_PRIM,231,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,A,0,2021,2022,"IEA (2024), World Energy Balances",12.13
2010,EG_EGY_PRIM,231,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,A,0,2021,2022,"IEA (2024), World Energy Balances",11.27
2011,EG_EGY_PRIM,231,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,A,0,2021,2022,"IEA (2024), World Energy Balances",10.5
2012,EG_EGY_PRIM,231,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,A,0,2021,2022,"IEA (2024), World Energy Balances",9.94
2013,EG_EGY_PRIM,231,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,A,0,2021,2022,"IEA (2024), World Energy Balances",9.4
2014,EG_EGY_PRIM,231,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,A,0,2021,2022,"IEA (2024), World Energy Balances",8.85
2015,EG_EGY_PRIM,231,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,A,0,2021,2022,"IEA (2024), World Energy Balances",8.24
2016,EG_EGY_PRIM,231,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,A,0,2021,2022,"IEA (2024), World Energy Balances",7.91
2017,EG_EGY_PRIM,231,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,A,0,2021,2022,"IEA (2024), World Energy Balances",7.34
2018,EG_EGY_PRIM,231,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,A,0,2021,2022,"IEA (2024), World Energy Balances",7.05
2019,EG_EGY_PRIM,231,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,A,0,2021,2022,"IEA (2024), World Energy Balances",6.67
2020,EG_EGY_PRIM,231,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,A,0,2021,2022,"IEA (2024), World Energy Balances",6.37
2021,EG_EGY_PRIM,231,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,A,0,2021,2022,"IEA (2024), World Energy Balances",6.05
2022,EG_EGY_PRIM,231,MJ_PER_GDP_CON_PPP_USD,2025-02-26T00:00:00,A,0,2021,2022,"IEA (2024), World Energy Balances",5.9
