Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,COMMENT_OBS,Value
2000,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,None,Y_GE15,PT,2025-03-15T00:00:00,2016,Data reference period: September,29.77
2001,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,None,Y_GE15,PT,2025-03-15T00:00:00,2016,Data reference period: September,27.3
2002,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,None,Y_GE15,PT,2025-03-15T00:00:00,2016,Data reference period: September,25.9
2003,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,None,Y_GE15,PT,2025-03-15T00:00:00,2016,Data reference period: September,23.72
2004,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,None,Y_GE15,PT,2025-03-15T00:00:00,2016,Data reference period: September,17.65
2005,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,None,Y_GE15,PT,2025-03-15T00:00:00,2016,Data reference period: September,15.27
2006,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,None,Y_GE15,PT,2025-03-15T00:00:00,2016,Data reference period: September,12.27
2007,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,None,Y_GE15,PT,2025-03-15T00:00:00,2016,Data reference period: September,13.79
2008,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,None,Y_GE15,PT,2025-03-15T00:00:00,2016,Data reference period: September,11.33
2009,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,None,Y_GE15,PT,2025-03-15T00:00:00,2016,Data reference period: September,10.16
2010,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,None,Y_GE15,PT,2025-03-15T00:00:00,2016,Data reference period: September,9.96
2011,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,None,Y_GE15,PT,2025-03-15T00:00:00,2016,Data reference period: September,9.96
2012,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,None,Y_GE15,PT,2025-03-15T00:00:00,2016,Data reference period: September,10.97
2013,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,None,Y_GE15,PT,2025-03-15T00:00:00,2016,Data reference period: September,9.82
2014,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,None,Y_GE15,PT,2025-03-15T00:00:00,2016,Data reference period: September,10.21
2015,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,None,Y_GE15,PT,2025-03-15T00:00:00,2016,Data reference period: September,11.21
2016,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,None,Y_GE15,PT,2025-03-15T00:00:00,2016,Data reference period: September,10.2
2001,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,None,Y_GE25,PT,2025-03-15T00:00:00,2016,Data reference period: September,19.96
2005,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,None,Y_GE25,PT,2025-03-15T00:00:00,2016,Data reference period: September,10.47
2006,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,None,Y_GE25,PT,2025-03-15T00:00:00,2016,Data reference period: September,8.92
2007,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,None,Y_GE25,PT,2025-03-15T00:00:00,2016,Data reference period: September,9.98
2008,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,None,Y_GE25,PT,2025-03-15T00:00:00,2016,Data reference period: September,7.92
2009,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,None,Y_GE25,PT,2025-03-15T00:00:00,2016,Data reference period: September,7.24
2010,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,None,Y_GE25,PT,2025-03-15T00:00:00,2016,Data reference period: September,7.07
2011,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,None,Y_GE25,PT,2025-03-15T00:00:00,2016,Data reference period: September,7.17
2012,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,None,Y_GE25,PT,2025-03-15T00:00:00,2016,Data reference period: September,7.56
2013,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,None,Y_GE25,PT,2025-03-15T00:00:00,2016,Data reference period: September,6.77
2014,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,None,Y_GE25,PT,2025-03-15T00:00:00,2016,Data reference period: September,7.37
2015,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,None,Y_GE25,PT,2025-03-15T00:00:00,2016,Data reference period: September,8.03
2016,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,None,Y_GE25,PT,2025-03-15T00:00:00,2016,Data reference period: September,7.71
2001,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,None,Y15T24,PT,2025-03-15T00:00:00,2016,Data reference period: September,47.76
2005,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,None,Y15T24,PT,2025-03-15T00:00:00,2016,Data reference period: September,31.08
2006,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,None,Y15T24,PT,2025-03-15T00:00:00,2016,Data reference period: September,24.3
2007,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,None,Y15T24,PT,2025-03-15T00:00:00,2016,Data reference period: September,27.41
2008,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,None,Y15T24,PT,2025-03-15T00:00:00,2016,Data reference period: September,23.81
2009,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,None,Y15T24,PT,2025-03-15T00:00:00,2016,Data reference period: September,21.26
2010,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,None,Y15T24,PT,2025-03-15T00:00:00,2016,Data reference period: September,21.54
2011,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,None,Y15T24,PT,2025-03-15T00:00:00,2016,Data reference period: September,22.43
2012,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,None,Y15T24,PT,2025-03-15T00:00:00,2016,Data reference period: September,27.54
2013,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,None,Y15T24,PT,2025-03-15T00:00:00,2016,Data reference period: September,24.8
2014,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,None,Y15T24,PT,2025-03-15T00:00:00,2016,Data reference period: September,25.03
2015,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,None,Y15T24,PT,2025-03-15T00:00:00,2016,Data reference period: September,29.84
2016,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,None,Y15T24,PT,2025-03-15T00:00:00,2016,Data reference period: September,25.72
2000,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,F,Y_GE15,PT,2025-03-15T00:00:00,2016,Data reference period: September,29.72
2003,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,F,Y_GE15,PT,2025-03-15T00:00:00,2016,Data reference period: September,25.44
2004,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,F,Y_GE15,PT,2025-03-15T00:00:00,2016,Data reference period: September,18.19
2009,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,F,Y_GE15,PT,2025-03-15T00:00:00,2016,Data reference period: September,18.1
2010,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,F,Y_GE15,PT,2025-03-15T00:00:00,2016,Data reference period: September,19.1
2012,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,F,Y_GE15,PT,2025-03-15T00:00:00,2016,Data reference period: September,16.99
2013,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,F,Y_GE15,PT,2025-03-15T00:00:00,2016,Data reference period: September,16.3
2014,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,F,Y_GE15,PT,2025-03-15T00:00:00,2016,Data reference period: September,15.58
2015,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,F,Y_GE15,PT,2025-03-15T00:00:00,2016,Data reference period: September,16.57
2016,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,F,Y_GE15,PT,2025-03-15T00:00:00,2016,Data reference period: September,18.25
2009,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,F,Y_GE25,PT,2025-03-15T00:00:00,2016,Data reference period: September,14.43
2010,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,F,Y_GE25,PT,2025-03-15T00:00:00,2016,Data reference period: September,14.98
2012,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,F,Y_GE25,PT,2025-03-15T00:00:00,2016,Data reference period: September,12.55
2013,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,F,Y_GE25,PT,2025-03-15T00:00:00,2016,Data reference period: September,11.93
2014,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,F,Y_GE25,PT,2025-03-15T00:00:00,2016,Data reference period: September,11.77
2015,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,F,Y_GE25,PT,2025-03-15T00:00:00,2016,Data reference period: September,12.33
2016,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,F,Y_GE25,PT,2025-03-15T00:00:00,2016,Data reference period: September,14.95
2009,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,F,Y15T24,PT,2025-03-15T00:00:00,2016,Data reference period: September,34.56
2010,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,F,Y15T24,PT,2025-03-15T00:00:00,2016,Data reference period: September,37.57
2012,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,F,Y15T24,PT,2025-03-15T00:00:00,2016,Data reference period: September,39.22
2013,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,F,Y15T24,PT,2025-03-15T00:00:00,2016,Data reference period: September,39.78
2014,A,0,LFS - Household Employment Survey,SL_TLF_UEM,12,F,Y15T24,PT,2025-03-15T00:00:00,2016,Data reference period: September,39.02
