Year,SERIES,REF_AREA,ACTIVITY,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,Value
2000,NV_IND_TECH,231,ISIC3_D,PT,2025-02-27T00:00:00,A,0,2015,UNIDO INDSTAT Database. Available at https://stat.unido.org,11.74
2001,NV_IND_TECH,231,ISIC3_D,PT,2025-02-27T00:00:00,A,0,2015,UNIDO INDSTAT Database. Available at https://stat.unido.org,8.89
2002,NV_IND_TECH,231,ISIC3_D,PT,2025-02-27T00:00:00,A,0,2015,UNIDO INDSTAT Database. Available at https://stat.unido.org,7.3
2003,NV_IND_TECH,231,ISIC3_D,PT,2025-02-27T00:00:00,A,0,2015,UNIDO INDSTAT Database. Available at https://stat.unido.org,6.6
2004,NV_IND_TECH,231,ISIC3_D,PT,2025-02-27T00:00:00,A,0,2015,UNIDO INDSTAT Database. Available at https://stat.unido.org,7.96
2005,NV_IND_TECH,231,ISIC3_D,PT,2025-02-27T00:00:00,A,0,2015,UNIDO INDSTAT Database. Available at https://stat.unido.org,6.26
2006,NV_IND_TECH,231,ISIC3_D,PT,2025-02-27T00:00:00,A,0,2015,UNIDO INDSTAT Database. Available at https://stat.unido.org,6.86
2007,NV_IND_TECH,231,ISIC3_D,PT,2025-02-27T00:00:00,A,0,2015,UNIDO INDSTAT Database. Available at https://stat.unido.org,9.64
2008,NV_IND_TECH,231,ISIC3_D,PT,2025-02-27T00:00:00,A,0,2015,UNIDO INDSTAT Database. Available at https://stat.unido.org,7.73
2009,NV_IND_TECH,231,ISIC3_D,PT,2025-02-27T00:00:00,A,0,2015,UNIDO INDSTAT Database. Available at https://stat.unido.org,9.41
2010,NV_IND_TECH,231,ISIC3_D,PT,2025-02-27T00:00:00,A,0,2015,UNIDO INDSTAT Database. Available at https://stat.unido.org,9.79
2011,NV_IND_TECH,231,ISIC3_D,PT,2025-02-27T00:00:00,A,0,2015,UNIDO INDSTAT Database. Available at https://stat.unido.org,10.0
2012,NV_IND_TECH,231,ISIC3_D,PT,2025-02-27T00:00:00,A,0,2015,UNIDO INDSTAT Database. Available at https://stat.unido.org,11.26
2013,NV_IND_TECH,231,ISIC3_D,PT,2025-02-27T00:00:00,A,0,2015,UNIDO INDSTAT Database. Available at https://stat.unido.org,16.08
2014,NV_IND_TECH,231,ISIC3_D,PT,2025-02-27T00:00:00,A,0,2015,UNIDO INDSTAT Database. Available at https://stat.unido.org,16.07
2015,NV_IND_TECH,231,ISIC3_D,PT,2025-02-27T00:00:00,A,0,2015,UNIDO INDSTAT Database. Available at https://stat.unido.org,16.07
