Year,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,COMMENT_OBS,SOURCE_DETAIL,Value
2000,DC_ODA_POVLG,231,PT,2025-05-19T00:00:00,A,0,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,2.197374
2001,DC_ODA_POVLG,231,PT,2025-05-19T00:00:00,A,0,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,2.095641
2002,DC_ODA_POVLG,231,PT,2025-05-19T00:00:00,A,0,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,0.969222
2003,DC_ODA_POVLG,231,PT,2025-05-19T00:00:00,A,0,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,2.180982
2004,DC_ODA_POVLG,231,PT,2025-05-19T00:00:00,A,0,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,1.673548
2005,DC_ODA_POVLG,231,PT,2025-05-19T00:00:00,A,0,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,2.094298
2006,DC_ODA_POVLG,231,PT,2025-05-19T00:00:00,A,0,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,2.613112
2007,DC_ODA_POVLG,231,PT,2025-05-19T00:00:00,A,0,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,3.928884
2008,DC_ODA_POVLG,231,PT,2025-05-19T00:00:00,A,0,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,2.603746
2009,DC_ODA_POVLG,231,PT,2025-05-19T00:00:00,A,0,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,2.032955
2010,DC_ODA_POVLG,231,PT,2025-05-19T00:00:00,A,0,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,2.380684
2011,DC_ODA_POVLG,231,PT,2025-05-19T00:00:00,A,0,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,2.39908
2012,DC_ODA_POVLG,231,PT,2025-05-19T00:00:00,A,0,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,1.818509
2013,DC_ODA_POVLG,231,PT,2025-05-19T00:00:00,A,0,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,1.880668
2014,DC_ODA_POVLG,231,PT,2025-05-19T00:00:00,A,0,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,1.563933
2015,DC_ODA_POVLG,231,PT,2025-05-19T00:00:00,A,0,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,1.197866
2016,DC_ODA_POVLG,231,PT,2025-05-19T00:00:00,A,0,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,0.945798
2017,DC_ODA_POVLG,231,PT,2025-05-19T00:00:00,A,0,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,0.910543
2018,DC_ODA_POVLG,231,PT,2025-05-19T00:00:00,A,0,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,0.839599
2019,DC_ODA_POVLG,231,PT,2025-05-19T00:00:00,A,0,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,0.748539
2020,DC_ODA_POVLG,231,PT,2025-05-19T00:00:00,A,0,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,0.639799
2021,DC_ODA_POVLG,231,PT,2025-05-19T00:00:00,A,0,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,0.643884
2022,DC_ODA_POVLG,231,PT,2025-05-19T00:00:00,A,0,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,0.841172
2023,DC_ODA_POVLG,231,PT,2025-05-19T00:00:00,A,0,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",The Organisation for Economic Co-operation and Development (OECD).,0.640041
