Year,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,COMMENT_OBS,Value
2000,SD_XPD_ESED,231,PT,2025-03-14T00:00:00,A,0,2024,UNESCO Institute for Statistics. Sector Name: General government.,,14.90773
2001,SD_XPD_ESED,231,PT,2025-03-14T00:00:00,A,0,2024,UNESCO Institute for Statistics. Sector Name: General government.,,14.46177
2002,SD_XPD_ESED,231,PT,2025-03-14T00:00:00,A,0,2024,UNESCO Institute for Statistics. Sector Name: General government.,,16.18775
2006,SD_XPD_ESED,231,PT,2025-03-14T00:00:00,A,0,2024,UNESCO Institute for Statistics. Sector Name: General government.,,23.97538
2007,SD_XPD_ESED,231,PT,2025-03-14T00:00:00,A,0,2024,UNESCO Institute for Statistics. Sector Name: General government.,,24.69945
2008,SD_XPD_ESED,231,PT,2025-03-14T00:00:00,A,0,2024,UNESCO Institute for Statistics. Sector Name: General government.,,26.35573
2009,SD_XPD_ESED,231,PT,2025-03-14T00:00:00,A,0,2024,UNESCO Institute for Statistics. Sector Name: General government.,,23.58375
2010,SD_XPD_ESED,231,PT,2025-03-14T00:00:00,A,0,2024,UNESCO Institute for Statistics. Sector Name: General government.,,26.30404
2011,SD_XPD_ESED,231,PT,2025-03-14T00:00:00,A,0,2024,UNESCO Institute for Statistics. Sector Name: General government.,,29.67443
2012,SD_XPD_ESED,231,PT,2025-03-14T00:00:00,A,0,2024,UNESCO Institute for Statistics. Sector Name: General government.,,30.53954
2013,SD_XPD_ESED,231,PT,2025-03-14T00:00:00,A,0,2024,UNESCO Institute for Statistics. Sector Name: General government.,,27.0211
2014,SD_XPD_ESED,231,PT,2025-03-14T00:00:00,A,0,2024,UNESCO Institute for Statistics. Sector Name: General government.,,25.91838
2015,SD_XPD_ESED,231,PT,2025-03-14T00:00:00,A,0,2024,UNESCO Institute for Statistics. Sector Name: General government.,,23.66404
