Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,African Development Bank Group Annual Report 2022,SG_INT_MBRDEV,12,IO_AFDB,PT,2024-05-07T00:00:00,2022,1.2987
2005,A,0,African Development Bank Group Annual Report 2022,SG_INT_MBRDEV,12,IO_AFDB,PT,2024-05-07T00:00:00,2022,1.2987
2010,A,0,African Development Bank Group Annual Report 2022,SG_INT_MBRDEV,12,IO_AFDB,PT,2024-05-07T00:00:00,2022,1.2987
2014,A,0,African Development Bank Group Annual Report 2022,SG_INT_MBRDEV,12,IO_AFDB,PT,2024-05-07T00:00:00,2022,1.26582
2015,A,0,African Development Bank Group Annual Report 2022,SG_INT_MBRDEV,12,IO_AFDB,PT,2024-05-07T00:00:00,2022,1.25
2016,A,0,African Development Bank Group Annual Report 2022,SG_INT_MBRDEV,12,IO_AFDB,PT,2024-05-07T00:00:00,2022,1.25
2017,A,0,African Development Bank Group Annual Report 2022,SG_INT_MBRDEV,12,IO_AFDB,PT,2024-05-07T00:00:00,2022,1.25
2018,A,0,African Development Bank Group Annual Report 2022,SG_INT_MBRDEV,12,IO_AFDB,PT,2024-05-07T00:00:00,2022,1.25
2019,A,0,African Development Bank Group Annual Report 2022,SG_INT_MBRDEV,12,IO_AFDB,PT,2024-05-07T00:00:00,2022,1.25
2020,A,0,African Development Bank Group Annual Report 2022,SG_INT_MBRDEV,12,IO_AFDB,PT,2024-05-07T00:00:00,2022,1.23457
2021,A,0,African Development Bank Group Annual Report 2022,SG_INT_MBRDEV,12,IO_AFDB,PT,2024-05-07T00:00:00,2022,1.23457
2022,A,0,African Development Bank Group Annual Report 2022,SG_INT_MBRDEV,12,IO_AFDB,PT,2024-05-07T00:00:00,2022,1.23457
2000,A,0,Report of the Economic and Social Council on its 2018 Session (A/73/3),SG_INT_MBRDEV,12,IO_ECOSOC,PT,2024-05-07T00:00:00,2018,1.85185
2016,A,0,Report of the Economic and Social Council on its 2018 Session (A/73/3),SG_INT_MBRDEV,12,IO_ECOSOC,PT,2024-05-07T00:00:00,2018,1.85185
2017,A,0,Report of the Economic and Social Council on its 2018 Session (A/73/3),SG_INT_MBRDEV,12,IO_ECOSOC,PT,2024-05-07T00:00:00,2018,1.85185
2018,A,0,Report of the Economic and Social Council on its 2018 Session (A/73/3),SG_INT_MBRDEV,12,IO_ECOSOC,PT,2024-05-07T00:00:00,2018,1.85185
2000,A,0,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",SG_INT_MBRDEV,12,IO_IBRD,PT,2024-05-07T00:00:00,2023,0.54945
2005,A,0,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",SG_INT_MBRDEV,12,IO_IBRD,PT,2024-05-07T00:00:00,2023,0.54348
2010,A,0,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",SG_INT_MBRDEV,12,IO_IBRD,PT,2024-05-07T00:00:00,2023,0.53476
2015,A,0,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",SG_INT_MBRDEV,12,IO_IBRD,PT,2024-05-07T00:00:00,2023,0.53191
2016,A,0,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",SG_INT_MBRDEV,12,IO_IBRD,PT,2024-05-07T00:00:00,2023,0.53191
2017,A,0,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",SG_INT_MBRDEV,12,IO_IBRD,PT,2024-05-07T00:00:00,2023,0.5291
2018,A,0,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",SG_INT_MBRDEV,12,IO_IBRD,PT,2024-05-07T00:00:00,2023,0.5291
2019,A,0,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",SG_INT_MBRDEV,12,IO_IBRD,PT,2024-05-07T00:00:00,2023,0.5291
2020,A,0,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",SG_INT_MBRDEV,12,IO_IBRD,PT,2024-05-07T00:00:00,2023,0.5291
2021,A,0,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",SG_INT_MBRDEV,12,IO_IBRD,PT,2024-05-07T00:00:00,2023,0.5291
2022,A,0,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",SG_INT_MBRDEV,12,IO_IBRD,PT,2024-05-07T00:00:00,2023,0.5291
2023,A,0,"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2023",SG_INT_MBRDEV,12,IO_IBRD,PT,2024-05-07T00:00:00,2023,0.5291
2000,A,0,IFC 2023 Annual Report Volume 2,SG_INT_MBRDEV,12,IO_IFC,PT,2024-05-07T00:00:00,2023,0.57471
2005,A,0,IFC 2023 Annual Report Volume 2,SG_INT_MBRDEV,12,IO_IFC,PT,2024-05-07T00:00:00,2023,0.5618
2010,A,0,IFC 2023 Annual Report Volume 2,SG_INT_MBRDEV,12,IO_IFC,PT,2024-05-07T00:00:00,2023,0.54945
2015,A,0,IFC 2023 Annual Report Volume 2,SG_INT_MBRDEV,12,IO_IFC,PT,2024-05-07T00:00:00,2023,0.54348
2016,A,0,IFC 2023 Annual Report Volume 2,SG_INT_MBRDEV,12,IO_IFC,PT,2024-05-07T00:00:00,2023,0.54348
2017,A,0,IFC 2023 Annual Report Volume 2,SG_INT_MBRDEV,12,IO_IFC,PT,2024-05-07T00:00:00,2023,0.54348
2018,A,0,IFC 2023 Annual Report Volume 2,SG_INT_MBRDEV,12,IO_IFC,PT,2024-05-07T00:00:00,2023,0.54348
2019,A,0,IFC 2023 Annual Report Volume 2,SG_INT_MBRDEV,12,IO_IFC,PT,2024-05-07T00:00:00,2023,0.5435
2020,A,0,IFC 2023 Annual Report Volume 2,SG_INT_MBRDEV,12,IO_IFC,PT,2024-05-07T00:00:00,2023,0.54054
2021,A,0,IFC 2023 Annual Report Volume 2,SG_INT_MBRDEV,12,IO_IFC,PT,2024-05-07T00:00:00,2023,0.54054
2022,A,0,IFC 2023 Annual Report Volume 2,SG_INT_MBRDEV,12,IO_IFC,PT,2024-05-07T00:00:00,2023,0.53763
2023,A,0,IFC 2023 Annual Report Volume 2,SG_INT_MBRDEV,12,IO_IFC,PT,2024-05-07T00:00:00,2023,0.53763
2000,A,0,IMF Annual Report 2023,SG_INT_MBRDEV,12,IO_IMF,PT,2024-05-07T00:00:00,2023,0.5618
