Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2014,A,0,IOM Missing Migrant Project,SM_DTH_MIGR,12,NUMBER,2025-04-04T00:00:00,2024,46
2015,A,0,IOM Missing Migrant Project,SM_DTH_MIGR,12,NUMBER,2025-04-04T00:00:00,2024,19
2016,A,0,IOM Missing Migrant Project,SM_DTH_MIGR,12,NUMBER,2025-04-04T00:00:00,2024,8
2017,A,0,IOM Missing Migrant Project,SM_DTH_MIGR,12,NUMBER,2025-04-04T00:00:00,2024,34
2018,A,0,IOM Missing Migrant Project,SM_DTH_MIGR,12,NUMBER,2025-04-04T00:00:00,2024,108
2019,A,0,IOM Missing Migrant Project,SM_DTH_MIGR,12,NUMBER,2025-04-04T00:00:00,2024,282
2020,A,0,IOM Missing Migrant Project,SM_DTH_MIGR,12,NUMBER,2025-04-04T00:00:00,2024,282
2021,A,0,IOM Missing Migrant Project,SM_DTH_MIGR,12,NUMBER,2025-04-04T00:00:00,2024,332
2022,A,0,IOM Missing Migrant Project,SM_DTH_MIGR,12,NUMBER,2025-04-04T00:00:00,2024,510
2023,A,0,IOM Missing Migrant Project,SM_DTH_MIGR,12,NUMBER,2025-04-04T00:00:00,2024,414
2024,A,0,IOM Missing Migrant Project,SM_DTH_MIGR,12,NUMBER,2025-04-04T00:00:00,2024,249
