Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2010,A,0,WHO,EN_ATM_PM25,12,None,GPERM3,2023-02-27T00:00:00,2019,21.27312
2011,A,0,WHO,EN_ATM_PM25,12,None,GPERM3,2023-02-27T00:00:00,2019,21.55503
2012,A,0,WHO,EN_ATM_PM25,12,None,GPERM3,2023-02-27T00:00:00,2019,22.75584
2013,A,0,WHO,EN_ATM_PM25,12,None,GPERM3,2023-02-27T00:00:00,2019,21.19187
2014,A,0,WHO,EN_ATM_PM25,12,None,GPERM3,2023-02-27T00:00:00,2019,22.63854
2015,A,0,WHO,EN_ATM_PM25,12,None,GPERM3,2023-02-27T00:00:00,2019,22.49486
2016,A,0,WHO,EN_ATM_PM25,12,None,GPERM3,2023-02-27T00:00:00,2019,23.05572
2017,A,0,WHO,EN_ATM_PM25,12,None,GPERM3,2023-02-27T00:00:00,2019,23.32959
2018,A,0,WHO,EN_ATM_PM25,12,None,GPERM3,2023-02-27T00:00:00,2019,22.72761
2019,A,0,WHO,EN_ATM_PM25,12,None,GPERM3,2023-02-27T00:00:00,2019,22.68313
2010,A,0,WHO,EN_ATM_PM25,12,CITY,GPERM3,2023-02-27T00:00:00,2019,21.66534
2011,A,0,WHO,EN_ATM_PM25,12,CITY,GPERM3,2023-02-27T00:00:00,2019,22.07895
2012,A,0,WHO,EN_ATM_PM25,12,CITY,GPERM3,2023-02-27T00:00:00,2019,23.52617
2013,A,0,WHO,EN_ATM_PM25,12,CITY,GPERM3,2023-02-27T00:00:00,2019,21.68207
2014,A,0,WHO,EN_ATM_PM25,12,CITY,GPERM3,2023-02-27T00:00:00,2019,23.47674
2015,A,0,WHO,EN_ATM_PM25,12,CITY,GPERM3,2023-02-27T00:00:00,2019,23.47737
2016,A,0,WHO,EN_ATM_PM25,12,CITY,GPERM3,2023-02-27T00:00:00,2019,23.9472
2017,A,0,WHO,EN_ATM_PM25,12,CITY,GPERM3,2023-02-27T00:00:00,2019,24.12689
2018,A,0,WHO,EN_ATM_PM25,12,CITY,GPERM3,2023-02-27T00:00:00,2019,23.7425
2019,A,0,WHO,EN_ATM_PM25,12,CITY,GPERM3,2023-02-27T00:00:00,2019,23.75163
2010,A,0,WHO,EN_ATM_PM25,12,R,GPERM3,2023-02-27T00:00:00,2019,21.71759
2011,A,0,WHO,EN_ATM_PM25,12,R,GPERM3,2023-02-27T00:00:00,2019,21.7768
2012,A,0,WHO,EN_ATM_PM25,12,R,GPERM3,2023-02-27T00:00:00,2019,22.49259
2013,A,0,WHO,EN_ATM_PM25,12,R,GPERM3,2023-02-27T00:00:00,2019,21.53361
2014,A,0,WHO,EN_ATM_PM25,12,R,GPERM3,2023-02-27T00:00:00,2019,22.6426
2015,A,0,WHO,EN_ATM_PM25,12,R,GPERM3,2023-02-27T00:00:00,2019,22.4373
2016,A,0,WHO,EN_ATM_PM25,12,R,GPERM3,2023-02-27T00:00:00,2019,22.98111
2017,A,0,WHO,EN_ATM_PM25,12,R,GPERM3,2023-02-27T00:00:00,2019,23.25595
2018,A,0,WHO,EN_ATM_PM25,12,R,GPERM3,2023-02-27T00:00:00,2019,22.52976
2019,A,0,WHO,EN_ATM_PM25,12,R,GPERM3,2023-02-27T00:00:00,2019,22.37822
2010,A,0,WHO,EN_ATM_PM25,12,TSUB,GPERM3,2023-02-27T00:00:00,2019,20.28925
2011,A,0,WHO,EN_ATM_PM25,12,TSUB,GPERM3,2023-02-27T00:00:00,2019,20.68415
2012,A,0,WHO,EN_ATM_PM25,12,TSUB,GPERM3,2023-02-27T00:00:00,2019,22.18375
2013,A,0,WHO,EN_ATM_PM25,12,TSUB,GPERM3,2023-02-27T00:00:00,2019,20.20136
2014,A,0,WHO,EN_ATM_PM25,12,TSUB,GPERM3,2023-02-27T00:00:00,2019,21.64506
2015,A,0,WHO,EN_ATM_PM25,12,TSUB,GPERM3,2023-02-27T00:00:00,2019,21.39548
2016,A,0,WHO,EN_ATM_PM25,12,TSUB,GPERM3,2023-02-27T00:00:00,2019,22.07462
2017,A,0,WHO,EN_ATM_PM25,12,TSUB,GPERM3,2023-02-27T00:00:00,2019,22.44998
2018,A,0,WHO,EN_ATM_PM25,12,TSUB,GPERM3,2023-02-27T00:00:00,2019,21.72465
2019,A,0,WHO,EN_ATM_PM25,12,TSUB,GPERM3,2023-02-27T00:00:00,2019,21.73509
2010,A,0,WHO,EN_ATM_PM25,12,U,GPERM3,2023-02-27T00:00:00,2019,21.02256
2011,A,0,WHO,EN_ATM_PM25,12,U,GPERM3,2023-02-27T00:00:00,2019,21.43001
2012,A,0,WHO,EN_ATM_PM25,12,U,GPERM3,2023-02-27T00:00:00,2019,22.90425
2013,A,0,WHO,EN_ATM_PM25,12,U,GPERM3,2023-02-27T00:00:00,2019,20.99922
2014,A,0,WHO,EN_ATM_PM25,12,U,GPERM3,2023-02-27T00:00:00,2019,22.63625
2015,A,0,WHO,EN_ATM_PM25,12,U,GPERM3,2023-02-27T00:00:00,2019,22.52731
2016,A,0,WHO,EN_ATM_PM25,12,U,GPERM3,2023-02-27T00:00:00,2019,23.09778
2017,A,0,WHO,EN_ATM_PM25,12,U,GPERM3,2023-02-27T00:00:00,2019,23.37111
2018,A,0,WHO,EN_ATM_PM25,12,U,GPERM3,2023-02-27T00:00:00,2019,22.83912
2019,A,0,WHO,EN_ATM_PM25,12,U,GPERM3,2023-02-27T00:00:00,2019,22.85498
