Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2019,A,0,Very Low Confidence,Food Waste Index Report 2024,AG_FOOD_WST,12,None,T,2025-03-25T00:00:00,2022,5782224.325
2022,A,0,Very Low Confidence,Food Waste Index Report 2024,AG_FOOD_WST,12,None,T,2025-03-25T00:00:00,2022,6890516.173
2019,A,0,Very Low Confidence,Food Waste Index Report 2024,AG_FOOD_WST,12,FWS_HHS,T,2025-03-25T00:00:00,2022,3918528.68
2022,A,0,Very Low Confidence,Food Waste Index Report 2024,AG_FOOD_WST,12,FWS_HHS,T,2025-03-25T00:00:00,2022,5057908.519
2019,A,0,Very Low Confidence,Food Waste Index Report 2024,AG_FOOD_WST,12,FWS_OOHC,T,2025-03-25T00:00:00,2022,1190335.319
2022,A,0,Very Low Confidence,Food Waste Index Report 2024,AG_FOOD_WST,12,FWS_OOHC,T,2025-03-25T00:00:00,2022,1398070.946
2019,A,0,Very Low Confidence,Food Waste Index Report 2024,AG_FOOD_WST,12,FWS_RTL,T,2025-03-25T00:00:00,2022,673360.3257
2022,A,0,Very Low Confidence,Food Waste Index Report 2024,AG_FOOD_WST,12,FWS_RTL,T,2025-03-25T00:00:00,2022,434536.7082
2019,A,0,Very Low Confidence,Food Waste Index Report 2024,AG_FOOD_WST_PC,12,None,KG,2025-03-25T00:00:00,2022,135.39807
2022,A,0,Very Low Confidence,Food Waste Index Report 2024,AG_FOOD_WST_PC,12,None,KG,2025-03-25T00:00:00,2022,153.45259
2019,A,0,Very Low Confidence,Food Waste Index Report 2024,AG_FOOD_WST_PC,12,FWS_HHS,KG,2025-03-25T00:00:00,2022,91.75729
2022,A,0,Very Low Confidence,Food Waste Index Report 2024,AG_FOOD_WST_PC,12,FWS_HHS,KG,2025-03-25T00:00:00,2022,112.64021
2019,A,0,Very Low Confidence,Food Waste Index Report 2024,AG_FOOD_WST_PC,12,FWS_OOHC,KG,2025-03-25T00:00:00,2022,27.8732
2022,A,0,Very Low Confidence,Food Waste Index Report 2024,AG_FOOD_WST_PC,12,FWS_OOHC,KG,2025-03-25T00:00:00,2022,31.1352
2019,A,0,Very Low Confidence,Food Waste Index Report 2024,AG_FOOD_WST_PC,12,FWS_RTL,KG,2025-03-25T00:00:00,2022,15.76758
2022,A,0,Very Low Confidence,Food Waste Index Report 2024,AG_FOOD_WST_PC,12,FWS_RTL,KG,2025-03-25T00:00:00,2022,9.67718
