Year,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,COMMENT_OBS,SOURCE_DETAIL,Value
2000,EN_ATM_GHGT_NAIP,231,TCO2E,2024-05-03T00:00:00,A,6,2017,Party not included in Annex I to the Convention (UNFCCC),UNFCCC,67.90718
2001,EN_ATM_GHGT_NAIP,231,TCO2E,2024-05-03T00:00:00,A,6,2017,Party not included in Annex I to the Convention (UNFCCC),UNFCCC,71.05802
2002,EN_ATM_GHGT_NAIP,231,TCO2E,2024-05-03T00:00:00,A,6,2017,Party not included in Annex I to the Convention (UNFCCC),UNFCCC,78.59997
2003,EN_ATM_GHGT_NAIP,231,TCO2E,2024-05-03T00:00:00,A,6,2017,Party not included in Annex I to the Convention (UNFCCC),UNFCCC,78.32996
2004,EN_ATM_GHGT_NAIP,231,TCO2E,2024-05-03T00:00:00,A,6,2017,Party not included in Annex I to the Convention (UNFCCC),UNFCCC,81.16365
2005,EN_ATM_GHGT_NAIP,231,TCO2E,2024-05-03T00:00:00,A,6,2017,Party not included in Annex I to the Convention (UNFCCC),UNFCCC,62.77698
2006,EN_ATM_GHGT_NAIP,231,TCO2E,2024-05-03T00:00:00,A,6,2017,Party not included in Annex I to the Convention (UNFCCC),UNFCCC,72.29733
2007,EN_ATM_GHGT_NAIP,231,TCO2E,2024-05-03T00:00:00,A,6,2017,Party not included in Annex I to the Convention (UNFCCC),UNFCCC,74.64246
2008,EN_ATM_GHGT_NAIP,231,TCO2E,2024-05-03T00:00:00,A,6,2017,Party not included in Annex I to the Convention (UNFCCC),UNFCCC,83.53134
2009,EN_ATM_GHGT_NAIP,231,TCO2E,2024-05-03T00:00:00,A,6,2017,Party not included in Annex I to the Convention (UNFCCC),UNFCCC,86.7415
2010,EN_ATM_GHGT_NAIP,231,TCO2E,2024-05-03T00:00:00,A,6,2017,Party not included in Annex I to the Convention (UNFCCC),UNFCCC,92.48299
2011,EN_ATM_GHGT_NAIP,231,TCO2E,2024-05-03T00:00:00,A,6,2017,Party not included in Annex I to the Convention (UNFCCC),UNFCCC,90.1951
2012,EN_ATM_GHGT_NAIP,231,TCO2E,2024-05-03T00:00:00,A,6,2017,Party not included in Annex I to the Convention (UNFCCC),UNFCCC,94.22252
2013,EN_ATM_GHGT_NAIP,231,TCO2E,2024-05-03T00:00:00,A,6,2017,Party not included in Annex I to the Convention (UNFCCC),UNFCCC,94.99596
2014,EN_ATM_GHGT_NAIP,231,TCO2E,2024-05-03T00:00:00,A,6,2017,Party not included in Annex I to the Convention (UNFCCC),UNFCCC,94.99596
2015,EN_ATM_GHGT_NAIP,231,TCO2E,2024-05-03T00:00:00,A,6,2017,Party not included in Annex I to the Convention (UNFCCC),UNFCCC,94.99596
2016,EN_ATM_GHGT_NAIP,231,TCO2E,2024-05-03T00:00:00,A,6,2017,Party not included in Annex I to the Convention (UNFCCC),UNFCCC,94.99596
2017,EN_ATM_GHGT_NAIP,231,TCO2E,2024-05-03T00:00:00,A,6,2017,Party not included in Annex I to the Convention (UNFCCC),UNFCCC,94.99596
