Year,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,BASE_PER,TIME_DETAIL,COMMENT_OBS,SOURCE_DETAIL,Value
2002,DC_ODA_BDVL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million, Other Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,20.563352
2003,DC_ODA_BDVL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million, Other Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,7.62763
2004,DC_ODA_BDVL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million, Other Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,44.768933
2005,DC_ODA_BDVL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million, Other Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,10.119525
2006,DC_ODA_BDVL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million, Other Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,12.430024
2007,DC_ODA_BDVL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million, Other Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,17.924182000000002
2008,DC_ODA_BDVL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million, Other Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,26.934877
2009,DC_ODA_BDVL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million, Other Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,77.702477
2010,DC_ODA_BDVL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million, Other Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,213.148162
2011,DC_ODA_BDVL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million, Other Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,70.853258
2012,DC_ODA_BDVL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million, Other Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,111.85464
2013,DC_ODA_BDVL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million, Other Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,218.769484
2014,DC_ODA_BDVL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million, Other Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,161.980063
2015,DC_ODA_BDVL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million, Other Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,361.660207
2016,DC_ODA_BDVL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million, Other Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,182.747724
2017,DC_ODA_BDVL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million, Other Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,357.126478
2018,DC_ODA_BDVL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million, Other Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,236.640957
2019,DC_ODA_BDVL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million, Other Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,167.017659
2020,DC_ODA_BDVL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million, Other Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,137.780535
2021,DC_ODA_BDVL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million, Other Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,153.01993
2022,DC_ODA_BDVL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million, Other Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,141.923299
2023,DC_ODA_BDVL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Commitments, Based on OECD, CRS database, 2025, Constant 2023 USD million, Other Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,165.687534
