Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2021,A,0,"Bicameral: Lower chamber (National People's Assembly), No Committee, Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,12,_X,_X,PC_GEN_EQU,NUMBER,2025-07-10T00:00:00,2024,0.0
2022,A,0,"Bicameral: Lower chamber (National People's Assembly), No Committee, Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,12,_X,_X,PC_GEN_EQU,NUMBER,2025-07-10T00:00:00,2024,0.0
2023,A,0,"Bicameral: Lower chamber (National People's Assembly), No Committee, Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,12,_X,_X,PC_GEN_EQU,NUMBER,2025-07-10T00:00:00,2024,0.0
2024,A,0,"Bicameral: Lower chamber (National People's Assembly), No Committee, Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,12,_X,_X,PC_GEN_EQU,NUMBER,2025-07-10T00:00:00,2024,0.0
2021,A,0,"Bicameral: Lower chamber (National People's Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,12,F,Y_GE46,PC_HUM_RIGH,NUMBER,2025-07-10T00:00:00,2022,1.0
2022,A,0,"Bicameral: Lower chamber (National People's Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,12,F,Y_GE46,PC_HUM_RIGH,NUMBER,2025-07-10T00:00:00,2022,1.0
2021,A,0,"Bicameral: Lower chamber (National People's Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,12,M,Y_GE46,PC_DEFENCE,NUMBER,2025-07-10T00:00:00,2025,1.0
2022,A,0,"Bicameral: Lower chamber (National People's Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,12,M,Y_GE46,PC_DEFENCE,NUMBER,2025-07-10T00:00:00,2025,1.0
2023,A,0,"Bicameral: Lower chamber (National People's Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,12,M,Y_GE46,PC_DEFENCE,NUMBER,2025-07-10T00:00:00,2025,1.0
2024,A,0,"Bicameral: Lower chamber (National People's Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,12,M,Y_GE46,PC_DEFENCE,NUMBER,2025-07-10T00:00:00,2025,1.0
2025,A,0,"Bicameral: Lower chamber (National People's Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,12,M,Y_GE46,PC_DEFENCE,NUMBER,2025-07-10T00:00:00,2025,1.0
2021,A,0,"Bicameral: Lower chamber (National People's Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,12,M,Y_GE46,PC_FOR_AFF,NUMBER,2025-07-10T00:00:00,2025,1.0
2022,A,0,"Bicameral: Lower chamber (National People's Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,12,M,Y_GE46,PC_FOR_AFF,NUMBER,2025-07-10T00:00:00,2025,1.0
2024,A,0,"Bicameral: Lower chamber (National People's Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,12,M,Y_GE46,PC_FOR_AFF,NUMBER,2025-07-10T00:00:00,2025,1.0
2025,A,0,"Bicameral: Lower chamber (National People's Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,12,M,Y_GE46,PC_FOR_AFF,NUMBER,2025-07-10T00:00:00,2025,1.0
2021,A,0,"Bicameral: Lower chamber (National People's Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,12,M,Y0T45,PC_FINANCE,NUMBER,2025-07-10T00:00:00,2025,1.0
2022,A,0,"Bicameral: Lower chamber (National People's Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,12,M,Y0T45,PC_FINANCE,NUMBER,2025-07-10T00:00:00,2025,1.0
2023,A,0,"Bicameral: Lower chamber (National People's Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,12,M,Y0T45,PC_FINANCE,NUMBER,2025-07-10T00:00:00,2025,1.0
2024,A,0,"Bicameral: Lower chamber (National People's Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,12,M,Y0T45,PC_FINANCE,NUMBER,2025-07-10T00:00:00,2025,1.0
2025,A,0,"Bicameral: Lower chamber (National People's Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,12,M,Y0T45,PC_FINANCE,NUMBER,2025-07-10T00:00:00,2025,1.0
2023,A,0,"Bicameral: Lower chamber (National People's Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,12,M,Y0T45,PC_FOR_AFF,NUMBER,2025-07-10T00:00:00,2023,1.0
2023,A,0,"Bicameral: Lower chamber (National People's Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,12,M,Y0T45,PC_HUM_RIGH,NUMBER,2025-07-10T00:00:00,2025,1.0
2024,A,0,"Bicameral: Lower chamber (National People's Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,12,M,Y0T45,PC_HUM_RIGH,NUMBER,2025-07-10T00:00:00,2025,1.0
2025,A,0,"Bicameral: Lower chamber (National People's Assembly), Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_LC,12,M,Y0T45,PC_HUM_RIGH,NUMBER,2025-07-10T00:00:00,2025,1.0
2021,A,0,"Bicameral: Upper chamber (Council of the Nation), No Committee, Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_UC,12,_X,_X,PC_GEN_EQU,NUMBER,2025-07-10T00:00:00,2024,0.0
2022,A,0,"Bicameral: Upper chamber (Council of the Nation), No Committee, Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_UC,12,_X,_X,PC_GEN_EQU,NUMBER,2025-07-10T00:00:00,2024,0.0
2023,A,0,"Bicameral: Upper chamber (Council of the Nation), No Committee, Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_UC,12,_X,_X,PC_GEN_EQU,NUMBER,2025-07-10T00:00:00,2024,0.0
2024,A,0,"Bicameral: Upper chamber (Council of the Nation), No Committee, Data valid as of 1 Jan of given year","Inter-Parliamentary Union (IPU), Parline Database",SG_DMK_PARLCC_UC,12,_X,_X,PC_GEN_EQU,NUMBER,2025-07-10T00:00:00,2024,0.0
