Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,BASE_PER,Value
2000,A,6,Zero means there is no PPI investment captured in the year,"World Bank, Private Participation in Infrastructure (PPI) Database.",GF_COM_PPPI,12,USD,2022-09-19T00:00:00,2020,,0.0
2001,A,6,Zero means there is no PPI investment captured in the year,"World Bank, Private Participation in Infrastructure (PPI) Database.",GF_COM_PPPI,12,USD,2022-09-19T00:00:00,2020,,368.5
2002,A,6,Zero means there is no PPI investment captured in the year,"World Bank, Private Participation in Infrastructure (PPI) Database.",GF_COM_PPPI,12,USD,2022-09-19T00:00:00,2020,,0.0
2003,A,6,Zero means there is no PPI investment captured in the year,"World Bank, Private Participation in Infrastructure (PPI) Database.",GF_COM_PPPI,12,USD,2022-09-19T00:00:00,2020,,0.0
2004,A,6,Zero means there is no PPI investment captured in the year,"World Bank, Private Participation in Infrastructure (PPI) Database.",GF_COM_PPPI,12,USD,2022-09-19T00:00:00,2020,,562.0
2005,A,6,Zero means there is no PPI investment captured in the year,"World Bank, Private Participation in Infrastructure (PPI) Database.",GF_COM_PPPI,12,USD,2022-09-19T00:00:00,2020,,1392.0
2006,A,6,Zero means there is no PPI investment captured in the year,"World Bank, Private Participation in Infrastructure (PPI) Database.",GF_COM_PPPI,12,USD,2022-09-19T00:00:00,2020,,2320.0
2007,A,6,Zero means there is no PPI investment captured in the year,"World Bank, Private Participation in Infrastructure (PPI) Database.",GF_COM_PPPI,12,USD,2022-09-19T00:00:00,2020,,391.0
2008,A,6,Zero means there is no PPI investment captured in the year,"World Bank, Private Participation in Infrastructure (PPI) Database.",GF_COM_PPPI,12,USD,2022-09-19T00:00:00,2020,,874.0
2009,A,6,Zero means there is no PPI investment captured in the year,"World Bank, Private Participation in Infrastructure (PPI) Database.",GF_COM_PPPI,12,USD,2022-09-19T00:00:00,2020,,926.0
2010,A,6,Zero means there is no PPI investment captured in the year,"World Bank, Private Participation in Infrastructure (PPI) Database.",GF_COM_PPPI,12,USD,2022-09-19T00:00:00,2020,,0.0
