Year,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,Value
2000,BX_TRF_PWKR,231,PT,2025-03-19T00:00:00,A,0,2023,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",0.644948162157074
2001,BX_TRF_PWKR,231,PT,2025-03-19T00:00:00,A,0,2023,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",0.22248806734534
2002,BX_TRF_PWKR,231,PT,2025-03-19T00:00:00,A,0,2023,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",0.420171887116394
2003,BX_TRF_PWKR,231,PT,2025-03-19T00:00:00,A,0,2023,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",0.538866604196298
2004,BX_TRF_PWKR,231,PT,2025-03-19T00:00:00,A,0,2023,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",1.32010990207259
2005,BX_TRF_PWKR,231,PT,2025-03-19T00:00:00,A,0,2023,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",1.39922146934874
2006,BX_TRF_PWKR,231,PT,2025-03-19T00:00:00,A,0,2023,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",1.12659427082788
2007,BX_TRF_PWKR,231,PT,2025-03-19T00:00:00,A,0,2023,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",1.81573565751308
2008,BX_TRF_PWKR,231,PT,2025-03-19T00:00:00,A,0,2023,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",1.42866780210322
2009,BX_TRF_PWKR,231,PT,2025-03-19T00:00:00,A,0,2023,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",0.806482761481544
2010,BX_TRF_PWKR,231,PT,2025-03-19T00:00:00,A,0,2023,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",1.45702856682548
2011,BX_TRF_PWKR,231,PT,2025-03-19T00:00:00,A,0,2023,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",1.68479919300585
2012,BX_TRF_PWKR,231,PT,2025-03-19T00:00:00,A,0,2023,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",1.44158455346166
2013,BX_TRF_PWKR,231,PT,2025-03-19T00:00:00,A,0,2023,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",1.74829264852673
2014,BX_TRF_PWKR,231,PT,2025-03-19T00:00:00,A,0,2023,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",3.23018487802699
2015,BX_TRF_PWKR,231,PT,2025-03-19T00:00:00,A,0,2023,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",1.68292003592368
2016,BX_TRF_PWKR,231,PT,2025-03-19T00:00:00,A,0,2023,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",1.03939404671686
2017,BX_TRF_PWKR,231,PT,2025-03-19T00:00:00,A,0,2023,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",0.481074848610145
2018,BX_TRF_PWKR,231,PT,2025-03-19T00:00:00,A,0,2023,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",0.517775747914025
2019,BX_TRF_PWKR,231,PT,2025-03-19T00:00:00,A,0,2023,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",0.500063731614164
2020,BX_TRF_PWKR,231,PT,2025-03-19T00:00:00,A,0,2023,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",0.375345368515945
2021,BX_TRF_PWKR,231,PT,2025-03-19T00:00:00,A,0,2023,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",0.402336426590942
2022,BX_TRF_PWKR,231,PT,2025-03-19T00:00:00,A,0,2023,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",0.402453527557383
2023,BX_TRF_PWKR,231,PT,2025-03-19T00:00:00,A,0,2023,"World Bank staff estimates based on IMF balance of payments data, and World Bank and OECD GDP estimates.",0.329485166518875
