Year,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,BASE_PER,TIME_DETAIL,COMMENT_OBS,SOURCE_DETAIL,Value
2000,DC_FTA_TOTAL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,115.193057
2001,DC_FTA_TOTAL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,230.384043
2002,DC_FTA_TOTAL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,150.646597
2003,DC_FTA_TOTAL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,89.397761
2004,DC_FTA_TOTAL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,203.50378
2005,DC_FTA_TOTAL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,145.392425
2006,DC_FTA_TOTAL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,200.498373
2007,DC_FTA_TOTAL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,308.66051
2008,DC_FTA_TOTAL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,419.569478
2009,DC_FTA_TOTAL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,953.14714
2010,DC_FTA_TOTAL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,438.266315
2011,DC_FTA_TOTAL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,488.200046
2012,DC_FTA_TOTAL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,499.100319
2013,DC_FTA_TOTAL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,349.721735
2014,DC_FTA_TOTAL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,535.454911
2015,DC_FTA_TOTAL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,215.461349
2016,DC_FTA_TOTAL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,204.75619
2017,DC_FTA_TOTAL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,263.554321
2018,DC_FTA_TOTAL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,591.627817
2019,DC_FTA_TOTAL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,606.370987
2020,DC_FTA_TOTAL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,1248.165605
2021,DC_FTA_TOTAL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,408.95955
2022,DC_FTA_TOTAL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,479.38517
2023,DC_FTA_TOTAL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,544.227257
