Year,OBS_STATUS,UNIT_MULT,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,3.1,2.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_WAST,12,None,Y0T4,PT,2025-03-27T00:00:00,2018-2019,3.1
2002,A,0,3.1,2.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_WAST,12,None,Y0T4,PT,2025-03-27T00:00:00,2018-2019,9.6
2006,A,0,3.1,2.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_WAST,12,None,Y0T4,PT,2025-03-27T00:00:00,2018-2019,4.1
2012,A,0,3.1,2.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_WAST,12,None,Y0T4,PT,2025-03-27T00:00:00,2018-2019,4.1
2019,A,0,3.1,2.3,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_WAST,12,None,Y0T4,PT,2025-03-27T00:00:00,2018-2019,2.7
2000,A,3,156.2,115.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_WASTN,12,None,Y0T4,NUMBER,2025-03-27T00:00:00,2018-2019,94.4
2002,A,3,156.2,115.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_WASTN,12,None,Y0T4,NUMBER,2025-03-27T00:00:00,2018-2019,279.6
2006,A,3,156.2,115.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_WASTN,12,None,Y0T4,NUMBER,2025-03-27T00:00:00,2018-2019,129.8
2012,A,3,156.2,115.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_WASTN,12,None,Y0T4,NUMBER,2025-03-27T00:00:00,2018-2019,174.2
2019,A,3,156.2,115.9,"Joint Child Malnutrition Estimates (2025 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",SH_STA_WASTN,12,None,Y0T4,NUMBER,2025-03-27T00:00:00,2018-2019,136.0
