Year,SERIES,REF_AREA,SEX,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,BASE_PER,TIME_DETAIL,COMMENT_OBS,SOURCE_DETAIL,Value
2014,PD_AGR_LSFP,231,None,CON_PPP_USD,2025-03-21T00:00:00,O,0,2017,2021,NaN = A figure was not provided,NA,7.14
2016,PD_AGR_LSFP,231,None,CON_PPP_USD,2025-03-21T00:00:00,O,0,2017,2021,NaN = A figure was not provided,NA,6.69
2019,PD_AGR_LSFP,231,None,CON_PPP_USD,2025-03-21T00:00:00,O,0,2017,2021,NaN = A figure was not provided,NA,9.69
2014,PD_AGR_LSFP,231,F,CON_PPP_USD,2025-03-21T00:00:00,O,0,2017,2021,NaN = A figure was not provided,NA,8.32
2016,PD_AGR_LSFP,231,F,CON_PPP_USD,2025-03-21T00:00:00,O,0,2017,2021,NaN = A figure was not provided,NA,9.52
2019,PD_AGR_LSFP,231,F,CON_PPP_USD,2025-03-21T00:00:00,O,0,2017,2021,NaN = A figure was not provided,NA,6.58
2014,PD_AGR_LSFP,231,M,CON_PPP_USD,2025-03-21T00:00:00,O,0,2017,2021,NaN = A figure was not provided,NA,6.96
2016,PD_AGR_LSFP,231,M,CON_PPP_USD,2025-03-21T00:00:00,O,0,2017,2021,NaN = A figure was not provided,NA,6.26
2019,PD_AGR_LSFP,231,M,CON_PPP_USD,2025-03-21T00:00:00,O,0,2017,2021,NaN = A figure was not provided,NA,10.07
2014,PD_AGR_SSFP,231,None,CON_PPP_USD,2025-03-21T00:00:00,O,0,2017,2022,NaN = A figure was not provided,NA,4.34
2016,PD_AGR_SSFP,231,None,CON_PPP_USD,2025-03-21T00:00:00,O,0,2017,2022,NaN = A figure was not provided,NA,4.84
2019,PD_AGR_SSFP,231,None,CON_PPP_USD,2025-03-21T00:00:00,O,0,2017,2022,NaN = A figure was not provided,NA,5.86
2014,PD_AGR_SSFP,231,F,CON_PPP_USD,2025-03-21T00:00:00,O,0,2017,2022,NaN = A figure was not provided,NA,4.0
2016,PD_AGR_SSFP,231,F,CON_PPP_USD,2025-03-21T00:00:00,O,0,2017,2022,NaN = A figure was not provided,NA,5.55
2019,PD_AGR_SSFP,231,F,CON_PPP_USD,2025-03-21T00:00:00,O,0,2017,2022,NaN = A figure was not provided,NA,5.12
2014,PD_AGR_SSFP,231,M,CON_PPP_USD,2025-03-21T00:00:00,O,0,2017,2022,NaN = A figure was not provided,NA,4.44
2016,PD_AGR_SSFP,231,M,CON_PPP_USD,2025-03-21T00:00:00,O,0,2017,2022,NaN = A figure was not provided,NA,4.61
2019,PD_AGR_SSFP,231,M,CON_PPP_USD,2025-03-21T00:00:00,O,0,2017,2022,NaN = A figure was not provided,NA,6.13
