Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2001,E,0,mainly UNSD National Accounts estimates. Missing data supplemented by IMF and other sources,UNSD national account estimates,AG_PRD_AGVAS,12,PT,2025-03-21T00:00:00,2023,9.79
2002,E,0,mainly UNSD National Accounts estimates. Missing data supplemented by IMF and other sources,UNSD national account estimates,AG_PRD_AGVAS,12,PT,2025-03-21T00:00:00,2023,9.31
2003,E,0,mainly UNSD National Accounts estimates. Missing data supplemented by IMF and other sources,UNSD national account estimates,AG_PRD_AGVAS,12,PT,2025-03-21T00:00:00,2023,9.81
2004,E,0,mainly UNSD National Accounts estimates. Missing data supplemented by IMF and other sources,UNSD national account estimates,AG_PRD_AGVAS,12,PT,2025-03-21T00:00:00,2023,9.44
2005,E,0,mainly UNSD National Accounts estimates. Missing data supplemented by IMF and other sources,UNSD national account estimates,AG_PRD_AGVAS,12,PT,2025-03-21T00:00:00,2023,7.69
2006,E,0,mainly UNSD National Accounts estimates. Missing data supplemented by IMF and other sources,UNSD national account estimates,AG_PRD_AGVAS,12,PT,2025-03-21T00:00:00,2023,7.54
2007,E,0,mainly UNSD National Accounts estimates. Missing data supplemented by IMF and other sources,UNSD national account estimates,AG_PRD_AGVAS,12,PT,2025-03-21T00:00:00,2023,7.57
2008,E,0,mainly UNSD National Accounts estimates. Missing data supplemented by IMF and other sources,UNSD national account estimates,AG_PRD_AGVAS,12,PT,2025-03-21T00:00:00,2023,6.59
2009,E,0,mainly UNSD National Accounts estimates. Missing data supplemented by IMF and other sources,UNSD national account estimates,AG_PRD_AGVAS,12,PT,2025-03-21T00:00:00,2023,9.34
2010,E,0,mainly UNSD National Accounts estimates. Missing data supplemented by IMF and other sources,UNSD national account estimates,AG_PRD_AGVAS,12,PT,2025-03-21T00:00:00,2023,8.47
2011,E,0,mainly UNSD National Accounts estimates. Missing data supplemented by IMF and other sources,UNSD national account estimates,AG_PRD_AGVAS,12,PT,2025-03-21T00:00:00,2023,8.11
2012,E,0,mainly UNSD National Accounts estimates. Missing data supplemented by IMF and other sources,UNSD national account estimates,AG_PRD_AGVAS,12,PT,2025-03-21T00:00:00,2023,8.77
