Year,SERIES,REF_AREA,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,BASE_PER,TIME_DETAIL,COMMENT_OBS,SOURCE_DETAIL,Value
2000,DC_TOF_AGRL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,87.908777
2001,DC_TOF_AGRL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,102.031428
2002,DC_TOF_AGRL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,90.779161
2003,DC_TOF_AGRL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,134.010989
2004,DC_TOF_AGRL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,134.956892
2005,DC_TOF_AGRL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,106.241656
2006,DC_TOF_AGRL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,161.826914
2007,DC_TOF_AGRL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,141.757299
2008,DC_TOF_AGRL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,162.836241
2009,DC_TOF_AGRL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,488.600808
2010,DC_TOF_AGRL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,268.728663
2011,DC_TOF_AGRL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,284.924657
2012,DC_TOF_AGRL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,340.117651
2013,DC_TOF_AGRL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,336.803979
2014,DC_TOF_AGRL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,397.627516
2015,DC_TOF_AGRL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,419.840341
2016,DC_TOF_AGRL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,574.427721
2017,DC_TOF_AGRL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,448.838953
2018,DC_TOF_AGRL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,447.953636
2019,DC_TOF_AGRL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,466.263023
2020,DC_TOF_AGRL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,531.026615
2021,DC_TOF_AGRL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,361.60918
2022,DC_TOF_AGRL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,432.237487
2023,DC_TOF_AGRL,231,CON_USD,2025-05-19T00:00:00,A,6,2023,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million",The Organisation for Economic Co-operation and Development (OECD).,627.381381
