Year,OBS_STATUS,UNIT_MULT,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,86.5205,45.53177,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,12,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,122.61971
2001,A,0,86.5205,45.53177,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,12,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,113.38939
2002,A,0,86.5205,45.53177,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,12,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,102.06598
2003,A,0,86.5205,45.53177,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,12,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,101.00724
2004,A,0,86.5205,45.53177,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,12,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,90.71183
2005,A,0,86.5205,45.53177,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,12,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,86.94946
2006,A,0,86.5205,45.53177,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,12,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,84.47351
2007,A,0,86.5205,45.53177,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,12,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,83.49242
2008,A,0,86.5205,45.53177,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,12,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,83.32107
2009,A,0,86.5205,45.53177,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,12,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,82.6275
2010,A,0,86.5205,45.53177,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,12,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,81.8852
2011,A,0,86.5205,45.53177,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,12,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,80.71158
2012,A,0,86.5205,45.53177,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,12,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,81.08459
2013,A,0,86.5205,45.53177,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,12,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,80.59616
2014,A,0,86.5205,45.53177,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,12,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,80.46674
2015,A,0,86.5205,45.53177,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,12,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,79.48452
2016,A,0,86.5205,45.53177,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,12,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,78.69241
2017,A,0,86.5205,45.53177,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,12,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,77.33013
2018,A,0,86.5205,45.53177,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,12,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,75.43224
2019,A,0,86.5205,45.53177,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,12,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,73.17389
2020,A,0,86.5205,45.53177,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,12,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,96.77085
2021,A,0,86.5205,45.53177,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,12,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,78.85967
2022,A,0,86.5205,45.53177,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,12,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,64.45588
2023,A,0,86.5205,45.53177,MMEIG estimates available at https://www.who.int/publications/i/item/9789240108462,SH_STA_MORT,12,F,PER_100000_LIVE_BIRTHS,2025-04-21T00:00:00,2023,62.48509
