Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,12,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,22.7
2001,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,12,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,22.3
2002,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,12,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,21.9
2003,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,12,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,21.5
2004,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,12,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,20.9
2005,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,12,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,20.3
2006,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,12,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,19.7
2007,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,12,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,19.2
2008,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,12,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,18.6
2009,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,12,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,18.2
2010,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,12,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,17.9
2011,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,12,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,17.6
2012,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,12,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,17.1
2013,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,12,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,16.4
2014,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,12,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,15.6
2015,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,12,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,15.2
2016,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,12,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,15.0
2017,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,12,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,15.2
2018,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,12,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,15.5
2019,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,12,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,15.8
2020,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,12,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,15.9
2021,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,12,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,15.9
2022,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,12,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,15.6
2023,A,0,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2025.",SH_DYN_NMRT,12,M0,PER_1000_LIVE_BIRTHS,2025-03-19T00:00:00,2023,15.3
