Year,OBS_STATUS,UNIT_MULT,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,COMMENT_OBS,Value
2000,A,0,26.6,15.8,World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control,SH_PRV_SMOK,12,None,Y_GE15,PT,2024-03-26T00:00:00,2022,The most recent survey was conducted in 2016-17. This is a projection.,22.9
2005,A,0,26.6,15.8,World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control,SH_PRV_SMOK,12,None,Y_GE15,PT,2024-03-26T00:00:00,2022,The most recent survey was conducted in 2016-17. This is a projection.,22.3
2010,A,0,26.6,15.8,World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control,SH_PRV_SMOK,12,None,Y_GE15,PT,2024-03-26T00:00:00,2022,The most recent survey was conducted in 2016-17. This is a projection.,21.7
2015,A,0,26.6,15.8,World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control,SH_PRV_SMOK,12,None,Y_GE15,PT,2024-03-26T00:00:00,2022,The most recent survey was conducted in 2016-17. This is a projection.,21.3
2020,A,0,26.6,15.8,World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control,SH_PRV_SMOK,12,None,Y_GE15,PT,2024-03-26T00:00:00,2022,The most recent survey was conducted in 2016-17. This is a projection.,21.2
2022,A,0,26.6,15.8,World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control,SH_PRV_SMOK,12,None,Y_GE15,PT,2024-03-26T00:00:00,2022,The most recent survey was conducted in 2016-17. This is a projection.,21.2
2000,A,0,0.9,0.4,World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control,SH_PRV_SMOK,12,F,Y_GE15,PT,2024-03-26T00:00:00,2022,The most recent survey was conducted in 2016-17. This is a projection.,2.0
2005,A,0,0.9,0.4,World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control,SH_PRV_SMOK,12,F,Y_GE15,PT,2024-03-26T00:00:00,2022,The most recent survey was conducted in 2016-17. This is a projection.,1.5
2010,A,0,0.9,0.4,World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control,SH_PRV_SMOK,12,F,Y_GE15,PT,2024-03-26T00:00:00,2022,The most recent survey was conducted in 2016-17. This is a projection.,1.2
2015,A,0,0.9,0.4,World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control,SH_PRV_SMOK,12,F,Y_GE15,PT,2024-03-26T00:00:00,2022,The most recent survey was conducted in 2016-17. This is a projection.,0.9
2020,A,0,0.9,0.4,World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control,SH_PRV_SMOK,12,F,Y_GE15,PT,2024-03-26T00:00:00,2022,The most recent survey was conducted in 2016-17. This is a projection.,0.7
2022,A,0,0.9,0.4,World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control,SH_PRV_SMOK,12,F,Y_GE15,PT,2024-03-26T00:00:00,2022,The most recent survey was conducted in 2016-17. This is a projection.,0.7
2000,A,0,52.3,31.3,World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control,SH_PRV_SMOK,12,M,Y_GE15,PT,2024-03-26T00:00:00,2022,The most recent survey was conducted in 2016-17. This is a projection.,43.9
2005,A,0,52.3,31.3,World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control,SH_PRV_SMOK,12,M,Y_GE15,PT,2024-03-26T00:00:00,2022,The most recent survey was conducted in 2016-17. This is a projection.,43.1
2010,A,0,52.3,31.3,World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control,SH_PRV_SMOK,12,M,Y_GE15,PT,2024-03-26T00:00:00,2022,The most recent survey was conducted in 2016-17. This is a projection.,42.3
2015,A,0,52.3,31.3,World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control,SH_PRV_SMOK,12,M,Y_GE15,PT,2024-03-26T00:00:00,2022,The most recent survey was conducted in 2016-17. This is a projection.,41.7
2020,A,0,52.3,31.3,World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control,SH_PRV_SMOK,12,M,Y_GE15,PT,2024-03-26T00:00:00,2022,The most recent survey was conducted in 2016-17. This is a projection.,41.7
2022,A,0,52.3,31.3,World Health Organization (WHO) Department of the Prevention of Noncommunicable Diseases;  Secretariat of the WHO Framework Convention on Tobacco Control,SH_PRV_SMOK,12,M,Y_GE15,PT,2024-03-26T00:00:00,2022,The most recent survey was conducted in 2016-17. This is a projection.,41.8
