Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,EDUCATION_LEV,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2021,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,12,None,ISCED11_02,PT,2025-03-05T00:00:00,2024,97.94796
2022,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,12,None,ISCED11_02,PT,2025-03-05T00:00:00,2024,95.27921
2023,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,12,None,ISCED11_02,PT,2025-03-05T00:00:00,2024,100.0
2024,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,12,None,ISCED11_02,PT,2025-03-05T00:00:00,2024,99.56543
2000,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,12,None,ISCED11_1,PT,2025-03-05T00:00:00,2023,94.63773
2001,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,12,None,ISCED11_1,PT,2025-03-05T00:00:00,2023,95.67702
2002,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,12,None,ISCED11_1,PT,2025-03-05T00:00:00,2023,97.12654
2003,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,12,None,ISCED11_1,PT,2025-03-05T00:00:00,2023,97.91976
2004,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,12,None,ISCED11_1,PT,2025-03-05T00:00:00,2023,98.3456
2005,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,12,None,ISCED11_1,PT,2025-03-05T00:00:00,2023,98.52628
2006,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,12,None,ISCED11_1,PT,2025-03-05T00:00:00,2023,99.26722
2007,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,12,None,ISCED11_1,PT,2025-03-05T00:00:00,2023,98.85815
2014,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,12,None,ISCED11_1,PT,2025-03-05T00:00:00,2023,100.0
2015,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,12,None,ISCED11_1,PT,2025-03-05T00:00:00,2023,100.0
2021,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,12,None,ISCED11_1,PT,2025-03-05T00:00:00,2023,98.14943
2022,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,12,None,ISCED11_1,PT,2025-03-05T00:00:00,2023,95.55455
2023,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_TRA_GRDL,12,None,ISCED11_1,PT,2025-03-05T00:00:00,2023,91.53029
