Year,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,Value
2000,SH_SAN_DEFECT,231,None,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",75.45711
2001,SH_SAN_DEFECT,231,None,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",72.66017
2002,SH_SAN_DEFECT,231,None,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",69.86876
2003,SH_SAN_DEFECT,231,None,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",67.08484
2004,SH_SAN_DEFECT,231,None,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",64.30792
2005,SH_SAN_DEFECT,231,None,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",61.53814
2006,SH_SAN_DEFECT,231,None,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",58.77511
2007,SH_SAN_DEFECT,231,None,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",56.01182
2008,SH_SAN_DEFECT,231,None,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",53.17633
2009,SH_SAN_DEFECT,231,None,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",50.35482
2010,SH_SAN_DEFECT,231,None,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",47.5464
2011,SH_SAN_DEFECT,231,None,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",44.75246
2012,SH_SAN_DEFECT,231,None,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",41.97267
2013,SH_SAN_DEFECT,231,None,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",39.21433
2014,SH_SAN_DEFECT,231,None,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",36.47082
2015,SH_SAN_DEFECT,231,None,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",33.74296
2016,SH_SAN_DEFECT,231,None,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",31.03088
2017,SH_SAN_DEFECT,231,None,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",28.33566
2018,SH_SAN_DEFECT,231,None,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",25.6569
2019,SH_SAN_DEFECT,231,None,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",22.99519
2020,SH_SAN_DEFECT,231,None,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",20.3513
2021,SH_SAN_DEFECT,231,None,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",17.72554
2022,SH_SAN_DEFECT,231,None,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",17.63515
2000,SH_SAN_DEFECT,231,R,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",84.71593
2001,SH_SAN_DEFECT,231,R,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",81.72189
2002,SH_SAN_DEFECT,231,R,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",78.72784
2003,SH_SAN_DEFECT,231,R,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",75.7338
2004,SH_SAN_DEFECT,231,R,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",72.73975
2005,SH_SAN_DEFECT,231,R,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",69.7457
2006,SH_SAN_DEFECT,231,R,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",66.75166
2007,SH_SAN_DEFECT,231,R,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",63.75761
2008,SH_SAN_DEFECT,231,R,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",60.76356
2009,SH_SAN_DEFECT,231,R,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",57.76952
2010,SH_SAN_DEFECT,231,R,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",54.77547
2011,SH_SAN_DEFECT,231,R,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",51.78143
2012,SH_SAN_DEFECT,231,R,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",48.78738
2013,SH_SAN_DEFECT,231,R,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",45.79333
2014,SH_SAN_DEFECT,231,R,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",42.79929
2015,SH_SAN_DEFECT,231,R,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",39.80524
2016,SH_SAN_DEFECT,231,R,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",36.81119
2017,SH_SAN_DEFECT,231,R,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",33.81715
2018,SH_SAN_DEFECT,231,R,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",30.8231
2019,SH_SAN_DEFECT,231,R,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",27.82905
2020,SH_SAN_DEFECT,231,R,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",24.83501
2021,SH_SAN_DEFECT,231,R,PT,2023-09-12T00:00:00,A,0,2022,"WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2023)",21.84096
