Year,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,Value
2000,EG_EGY_CLEAN,231,None,PT,2025-06-18T00:00:00,A,0,2023,13.6,2.7975,"Global Health Observatory (GHO), World Health Organisation (WHO).",0.8
2001,EG_EGY_CLEAN,231,None,PT,2025-06-18T00:00:00,A,0,2023,13.6,2.7975,"Global Health Observatory (GHO), World Health Organisation (WHO).",0.9
2002,EG_EGY_CLEAN,231,None,PT,2025-06-18T00:00:00,A,0,2023,13.6,2.7975,"Global Health Observatory (GHO), World Health Organisation (WHO).",1.0
2003,EG_EGY_CLEAN,231,None,PT,2025-06-18T00:00:00,A,0,2023,13.6,2.7975,"Global Health Observatory (GHO), World Health Organisation (WHO).",1.0
2004,EG_EGY_CLEAN,231,None,PT,2025-06-18T00:00:00,A,0,2023,13.6,2.7975,"Global Health Observatory (GHO), World Health Organisation (WHO).",1.1
2005,EG_EGY_CLEAN,231,None,PT,2025-06-18T00:00:00,A,0,2023,13.6,2.7975,"Global Health Observatory (GHO), World Health Organisation (WHO).",1.2
2006,EG_EGY_CLEAN,231,None,PT,2025-06-18T00:00:00,A,0,2023,13.6,2.7975,"Global Health Observatory (GHO), World Health Organisation (WHO).",1.3
2007,EG_EGY_CLEAN,231,None,PT,2025-06-18T00:00:00,A,0,2023,13.6,2.7975,"Global Health Observatory (GHO), World Health Organisation (WHO).",1.5
2008,EG_EGY_CLEAN,231,None,PT,2025-06-18T00:00:00,A,0,2023,13.6,2.7975,"Global Health Observatory (GHO), World Health Organisation (WHO).",1.7
2009,EG_EGY_CLEAN,231,None,PT,2025-06-18T00:00:00,A,0,2023,13.6,2.7975,"Global Health Observatory (GHO), World Health Organisation (WHO).",1.9
2010,EG_EGY_CLEAN,231,None,PT,2025-06-18T00:00:00,A,0,2023,13.6,2.7975,"Global Health Observatory (GHO), World Health Organisation (WHO).",2.2
2011,EG_EGY_CLEAN,231,None,PT,2025-06-18T00:00:00,A,0,2023,13.6,2.7975,"Global Health Observatory (GHO), World Health Organisation (WHO).",2.6
2012,EG_EGY_CLEAN,231,None,PT,2025-06-18T00:00:00,A,0,2023,13.6,2.7975,"Global Health Observatory (GHO), World Health Organisation (WHO).",3.0
2013,EG_EGY_CLEAN,231,None,PT,2025-06-18T00:00:00,A,0,2023,13.6,2.7975,"Global Health Observatory (GHO), World Health Organisation (WHO).",3.4
