Year,OBS_STATUS,UNIT_MULT,COMMENT_OBS,SOURCE_DETAIL,SERIES,REF_AREA,AGE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,12,Y_GE15,PT,2025-03-15T00:00:00,2024,2.8
2001,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,12,Y_GE15,PT,2025-03-15T00:00:00,2024,-3.04
2002,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,12,Y_GE15,PT,2025-03-15T00:00:00,2024,0.95
2003,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,12,Y_GE15,PT,2025-03-15T00:00:00,2024,1.13
2004,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,12,Y_GE15,PT,2025-03-15T00:00:00,2024,-5.36
2005,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,12,Y_GE15,PT,2025-03-15T00:00:00,2024,0.28
2006,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,12,Y_GE15,PT,2025-03-15T00:00:00,2024,-2.72
2007,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,12,Y_GE15,PT,2025-03-15T00:00:00,2024,2.73
2008,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,12,Y_GE15,PT,2025-03-15T00:00:00,2024,-2.49
2009,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,12,Y_GE15,PT,2025-03-15T00:00:00,2024,-2.27
2010,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,12,Y_GE15,PT,2025-03-15T00:00:00,2024,1.67
2011,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,12,Y_GE15,PT,2025-03-15T00:00:00,2024,1.53
2012,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,12,Y_GE15,PT,2025-03-15T00:00:00,2024,2.29
2013,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,12,Y_GE15,PT,2025-03-15T00:00:00,2024,0.31
2014,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,12,Y_GE15,PT,2025-03-15T00:00:00,2024,3.78
2015,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,12,Y_GE15,PT,2025-03-15T00:00:00,2024,3.3
2016,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,12,Y_GE15,PT,2025-03-15T00:00:00,2024,1.61
2017,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,12,Y_GE15,PT,2025-03-15T00:00:00,2024,2.17
2018,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,12,Y_GE15,PT,2025-03-15T00:00:00,2024,0.29
2019,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,12,Y_GE15,PT,2025-03-15T00:00:00,2024,-0.18
2020,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,12,Y_GE15,PT,2025-03-15T00:00:00,2024,1.98
2021,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,12,Y_GE15,PT,2025-03-15T00:00:00,2024,0.97
2022,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,12,Y_GE15,PT,2025-03-15T00:00:00,2024,-3.37
2023,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,12,Y_GE15,PT,2025-03-15T00:00:00,2024,2.13
2024,A,0,"Based on GDP per person engaged, constant 2015 US dollar","ILO modelled estimates, Nov. 2024",SL_EMP_PCAP,12,Y_GE15,PT,2025-03-15T00:00:00,2024,2.59
