Year,SERIES,REF_AREA,PRODUCT,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,BASE_PER,Value
2000,EN_MAT_DOMCMPC,231,None,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,2.89666
2001,EN_MAT_DOMCMPC,231,None,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,3.02957
2002,EN_MAT_DOMCMPC,231,None,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,3.09214
2003,EN_MAT_DOMCMPC,231,None,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,3.07732
2004,EN_MAT_DOMCMPC,231,None,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,3.07235
2005,EN_MAT_DOMCMPC,231,None,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,3.26314
2006,EN_MAT_DOMCMPC,231,None,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,3.28741
2007,EN_MAT_DOMCMPC,231,None,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,3.4559
2008,EN_MAT_DOMCMPC,231,None,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,3.47691
2009,EN_MAT_DOMCMPC,231,None,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,3.63507
2010,EN_MAT_DOMCMPC,231,None,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,3.65922
2011,EN_MAT_DOMCMPC,231,None,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,3.63892
2012,EN_MAT_DOMCMPC,231,None,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,3.75846
2013,EN_MAT_DOMCMPC,231,None,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,3.75027
2014,EN_MAT_DOMCMPC,231,None,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,3.70264
2015,EN_MAT_DOMCMPC,231,None,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,3.94852
2016,EN_MAT_DOMCMPC,231,None,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,4.1077
2017,EN_MAT_DOMCMPC,231,None,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,4.13953
2018,EN_MAT_DOMCMPC,231,None,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,4.10193
2019,EN_MAT_DOMCMPC,231,None,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,4.13703
2020,EN_MAT_DOMCMPC,231,None,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,4.20851
2021,EN_MAT_DOMCMPC,231,None,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,4.04416
2022,EN_MAT_DOMCMPC,231,None,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,3.97603
2023,EN_MAT_DOMCMPC,231,None,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,3.98805
2000,EN_MAT_DOMCMPC,231,MF_AGG3A,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.10869
2001,EN_MAT_DOMCMPC,231,MF_AGG3A,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.11372
2002,EN_MAT_DOMCMPC,231,MF_AGG3A,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.10109
2003,EN_MAT_DOMCMPC,231,MF_AGG3A,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.14718
2004,EN_MAT_DOMCMPC,231,MF_AGG3A,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.1609
2005,EN_MAT_DOMCMPC,231,MF_AGG3A,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.17144
2006,EN_MAT_DOMCMPC,231,MF_AGG3A,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.19095
2007,EN_MAT_DOMCMPC,231,MF_AGG3A,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.25948
2008,EN_MAT_DOMCMPC,231,MF_AGG3A,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.26657
2009,EN_MAT_DOMCMPC,231,MF_AGG3A,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.32177
2010,EN_MAT_DOMCMPC,231,MF_AGG3A,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.24851
2011,EN_MAT_DOMCMPC,231,MF_AGG3A,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.29161
2012,EN_MAT_DOMCMPC,231,MF_AGG3A,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.36739
2013,EN_MAT_DOMCMPC,231,MF_AGG3A,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.29473
2014,EN_MAT_DOMCMPC,231,MF_AGG3A,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.16049
2015,EN_MAT_DOMCMPC,231,MF_AGG3A,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.40857
2016,EN_MAT_DOMCMPC,231,MF_AGG3A,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.53168
2017,EN_MAT_DOMCMPC,231,MF_AGG3A,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.56947
2018,EN_MAT_DOMCMPC,231,MF_AGG3A,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.57469
2019,EN_MAT_DOMCMPC,231,MF_AGG3A,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.56561
2020,EN_MAT_DOMCMPC,231,MF_AGG3A,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.5616
2021,EN_MAT_DOMCMPC,231,MF_AGG3A,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.57043
2022,EN_MAT_DOMCMPC,231,MF_AGG3A,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.57072
2023,EN_MAT_DOMCMPC,231,MF_AGG3A,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.58446
2000,EN_MAT_DOMCMPC,231,MF_AGG3B,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.00708
2001,EN_MAT_DOMCMPC,231,MF_AGG3B,T,2025-03-21T00:00:00,A,0,2023,WESR / Global Material Flows Database,,0.00923
