Year,SERIES,REF_AREA,SEX,AGE,OCCUPATION,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,COMMENT_OBS,SOURCE_DETAIL,Value
2005,SL_EMP_EARN,231,None,Y_GE15,None,CUR_LCU,2025-03-15T00:00:00,A,0,2021,Repository: ILO-STATISTICS - Micro data processing | Currency: ETH - Birr (ETB),LFS - National Labor Force Survey,1.93
2013,SL_EMP_EARN,231,None,Y_GE15,None,CUR_LCU,2025-03-15T00:00:00,A,0,2021,Repository: ILO-STATISTICS - Micro data processing | Currency: ETH - Birr (ETB),LFS - National Labor Force Survey,8.08
2021,SL_EMP_EARN,231,None,Y_GE15,None,CUR_LCU,2025-03-15T00:00:00,A,0,2021,Repository: ILO-STATISTICS - Micro data processing | Currency: ETH - Birr (ETB),LFS - National Labor Force Survey,26.73
2021,SL_EMP_EARN,231,None,Y_GE15,ISCO08_0,CUR_LCU,2025-03-15T00:00:00,A,0,2021,Repository: ILO-STATISTICS - Micro data processing | Currency: ETH - Birr (ETB),LFS - National Labor Force Survey,17.58
2013,SL_EMP_EARN,231,None,Y_GE15,ISCO08_1,CUR_LCU,2025-03-15T00:00:00,A,0,2021,Repository: ILO-STATISTICS - Micro data processing | Currency: ETH - Birr (ETB),LFS - National Labor Force Survey,15.79
2021,SL_EMP_EARN,231,None,Y_GE15,ISCO08_1,CUR_LCU,2025-03-15T00:00:00,A,0,2021,Repository: ILO-STATISTICS - Micro data processing | Currency: ETH - Birr (ETB),LFS - National Labor Force Survey,45.7
2013,SL_EMP_EARN,231,None,Y_GE15,ISCO08_2,CUR_LCU,2025-03-15T00:00:00,A,0,2021,Repository: ILO-STATISTICS - Micro data processing | Currency: ETH - Birr (ETB),LFS - National Labor Force Survey,14.16
2021,SL_EMP_EARN,231,None,Y_GE15,ISCO08_2,CUR_LCU,2025-03-15T00:00:00,A,0,2021,Repository: ILO-STATISTICS - Micro data processing | Currency: ETH - Birr (ETB),LFS - National Labor Force Survey,51.53
2013,SL_EMP_EARN,231,None,Y_GE15,ISCO08_3,CUR_LCU,2025-03-15T00:00:00,A,0,2021,Repository: ILO-STATISTICS - Micro data processing | Currency: ETH - Birr (ETB),LFS - National Labor Force Survey,10.38
2021,SL_EMP_EARN,231,None,Y_GE15,ISCO08_3,CUR_LCU,2025-03-15T00:00:00,A,0,2021,Repository: ILO-STATISTICS - Micro data processing | Currency: ETH - Birr (ETB),LFS - National Labor Force Survey,35.62
