Year,SERIES,REF_AREA,COMPOSITE_BREAKDOWN,UNIT_MEASURE,DATA_LAST_UPDATE,OBS_STATUS,UNIT_MULT,TIME_DETAIL,SOURCE_DETAIL,Value
2017,IS_RDP_FRGVOL,231,MOT_AIR,T_KM,2025-04-07T00:00:00,A,0,2022,ICAO,2076185020
2018,IS_RDP_FRGVOL,231,MOT_AIR,T_KM,2025-04-07T00:00:00,A,0,2022,ICAO,2089277540
2019,IS_RDP_FRGVOL,231,MOT_AIR,T_KM,2025-04-07T00:00:00,A,0,2022,ICAO,2450272960
2020,IS_RDP_FRGVOL,231,MOT_AIR,T_KM,2025-04-07T00:00:00,A,0,2022,ICAO,2897134100
2021,IS_RDP_FRGVOL,231,MOT_AIR,T_KM,2025-04-07T00:00:00,A,0,2022,ICAO,3716821650
2022,IS_RDP_FRGVOL,231,MOT_AIR,T_KM,2025-04-07T00:00:00,A,0,2022,ICAO,4015458640
2017,IS_RDP_PFVOL,231,MOT_AIR,P_KM,2025-04-07T00:00:00,A,0,2022,ICAO,34903166040
2018,IS_RDP_PFVOL,231,MOT_AIR,P_KM,2025-04-07T00:00:00,A,0,2022,ICAO,42558923590
2019,IS_RDP_PFVOL,231,MOT_AIR,P_KM,2025-04-07T00:00:00,A,0,2022,ICAO,45289320950
2020,IS_RDP_PFVOL,231,MOT_AIR,P_KM,2025-04-07T00:00:00,A,0,2022,ICAO,16407322970
2021,IS_RDP_PFVOL,231,MOT_AIR,P_KM,2025-04-07T00:00:00,A,0,2022,ICAO,21894570030
2022,IS_RDP_PFVOL,231,MOT_AIR,P_KM,2025-04-07T00:00:00,A,0,2022,ICAO,51398884000
