Year,OBS_STATUS,UNIT_MULT,BASE_PER,SOURCE_DETAIL,SERIES,REF_AREA,ACTIVITY,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,12,ISIC4_C,PT,2025-02-26T00:00:00,2024,4.29
2001,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,12,ISIC4_C,PT,2025-02-26T00:00:00,2024,4.34
2002,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,12,ISIC4_C,PT,2025-02-26T00:00:00,2024,4.32
2003,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,12,ISIC4_C,PT,2025-02-26T00:00:00,2024,4.1
2004,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,12,ISIC4_C,PT,2025-02-26T00:00:00,2024,4.03
2005,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,12,ISIC4_C,PT,2025-02-26T00:00:00,2024,3.87
2006,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,12,ISIC4_C,PT,2025-02-26T00:00:00,2024,3.92
2007,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,12,ISIC4_C,PT,2025-02-26T00:00:00,2024,3.89
2008,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,12,ISIC4_C,PT,2025-02-26T00:00:00,2024,4.03
2009,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,12,ISIC4_C,PT,2025-02-26T00:00:00,2024,4.33
2010,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,12,ISIC4_C,PT,2025-02-26T00:00:00,2024,4.29
2011,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,12,ISIC4_C,PT,2025-02-26T00:00:00,2024,4.33
2012,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,12,ISIC4_C,PT,2025-02-26T00:00:00,2024,4.37
2013,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,12,ISIC4_C,PT,2025-02-26T00:00:00,2024,4.41
2014,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,12,ISIC4_C,PT,2025-02-26T00:00:00,2024,4.38
2015,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,12,ISIC4_C,PT,2025-02-26T00:00:00,2024,4.42
2016,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,12,ISIC4_C,PT,2025-02-26T00:00:00,2024,4.44
2017,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,12,ISIC4_C,PT,2025-02-26T00:00:00,2024,4.57
2018,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,12,ISIC4_C,PT,2025-02-26T00:00:00,2024,4.68
2019,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,12,ISIC4_C,PT,2025-02-26T00:00:00,2024,6.06
2020,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,12,ISIC4_C,PT,2025-02-26T00:00:00,2024,7.44
2021,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,12,ISIC4_C,PT,2025-02-26T00:00:00,2024,9.41
2022,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,12,ISIC4_C,PT,2025-02-26T00:00:00,2024,10.25
2023,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,12,ISIC4_C,PT,2025-02-26T00:00:00,2024,10.08
2024,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF,12,ISIC4_C,PT,2025-02-26T00:00:00,2024,10.07
2000,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,12,ISIC4_C,PT,2025-02-27T00:00:00,2023,5.99
2001,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,12,ISIC4_C,PT,2025-02-27T00:00:00,2023,6.23
2002,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,12,ISIC4_C,PT,2025-02-27T00:00:00,2023,6.08
2003,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,12,ISIC4_C,PT,2025-02-27T00:00:00,2023,5.48
2004,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,12,ISIC4_C,PT,2025-02-27T00:00:00,2023,5.12
2005,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,12,ISIC4_C,PT,2025-02-27T00:00:00,2023,4.46
2006,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,12,ISIC4_C,PT,2025-02-27T00:00:00,2023,4.21
2007,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,12,ISIC4_C,PT,2025-02-27T00:00:00,2023,4.08
2008,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,12,ISIC4_C,PT,2025-02-27T00:00:00,2023,3.7
2009,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,12,ISIC4_C,PT,2025-02-27T00:00:00,2023,4.68
2010,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,12,ISIC4_C,PT,2025-02-27T00:00:00,2023,4.17
2011,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,12,ISIC4_C,PT,2025-02-27T00:00:00,2023,3.66
2012,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,12,ISIC4_C,PT,2025-02-27T00:00:00,2023,3.6
2013,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,12,ISIC4_C,PT,2025-02-27T00:00:00,2023,3.71
2014,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,12,ISIC4_C,PT,2025-02-27T00:00:00,2023,3.9
2015,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,12,ISIC4_C,PT,2025-02-27T00:00:00,2023,4.42
2016,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,12,ISIC4_C,PT,2025-02-27T00:00:00,2023,4.41
2017,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,12,ISIC4_C,PT,2025-02-27T00:00:00,2023,4.32
2018,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,12,ISIC4_C,PT,2025-02-27T00:00:00,2023,4.25
2019,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,12,ISIC4_C,PT,2025-02-27T00:00:00,2023,5.53
2020,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,12,ISIC4_C,PT,2025-02-27T00:00:00,2023,7.27
2021,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,12,ISIC4_C,PT,2025-02-27T00:00:00,2023,8.19
2022,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,12,ISIC4_C,PT,2025-02-27T00:00:00,2023,10.21
2023,A,0,,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANF_CD,12,ISIC4_C,PT,2025-02-27T00:00:00,2023,9.3
2000,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,12,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,133.92
2001,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,12,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,137.65
2002,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,12,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,143.05
2003,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,12,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,143.49
2004,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,12,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,144.9
2005,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,12,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,145.44
2006,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,12,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,147.35
2007,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,12,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,148.82
2008,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,12,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,154.86
2009,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,12,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,166.08
2010,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,12,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,167.22
2011,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,12,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,170.38
2012,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,12,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,173.99
2013,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,12,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,177.05
2014,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,12,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,178.94
2015,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,12,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,183.29
2016,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,12,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,186.04
2017,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,12,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,190.31
2018,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,12,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,193.29
2019,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,12,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,259.32
2020,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,12,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,310.13
2021,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,12,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,417.0
2022,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,12,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,463.01
2023,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,12,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,466.86
2024,A,0,2015,UNIDO National Accounts Database. Available at https://stat.unido.org,NV_IND_MANFPC,12,ISIC4_C,CON_USD,2025-02-26T00:00:00,2024,477.58
